onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	6	0.0	0	1.0	1	0	3	4	0	0.0	A3	57	True	A	0	0	1.0	1	P2-Staff2	1	0	1.0	0	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
0	6	0.0	0	1.0	1	0	3	4	0	0.0	D4	62	True	D	0	0	1.0	1	P2-Staff2	1	0	1.0	0	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
0	6	0.0	0	1.0	1	0	3	4	0	0.0	F#4	66	True	F	1	0	1.0	1	P2-Staff2	1	0	1.0	0	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
0	6	0.0	0	1.0	1	0	3	4	0	0.0	D3	50	True	D	0	0	1.0	1	P2-Staff2	1	0	1.0	0	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
0	6	0.0	0	1.0	1	0	3	4	0	0.0	F#3	54	True	F	1	0	1.0	1	P2-Staff2	1	0	1.0	0	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
6	18	1.0	1	3.0	3	1	3	4	1	1.0	D3	50	True	D	0	0	1.0	1	P2-Staff2	1	1	3.0	1	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
6	18	1.0	1	3.0	3	1	3	4	1	1.0	F#4	66	True	F	1	0	1.0	1	P2-Staff2	1	1	3.0	1	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
6	18	1.0	1	3.0	3	1	3	4	1	1.0	F#3	54	True	F	1	0	1.0	1	P2-Staff2	1	1	3.0	1	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
6	18	1.0	1	3.0	3	1	3	4	1	1.0	A3	57	True	A	0	0	1.0	1	P2-Staff2	1	1	3.0	1	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
6	18	1.0	1	3.0	3	1	3	4	1	1.0	D4	62	True	D	0	0	1.0	1	P2-Staff2	1	1	3.0	1	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
18	6	3.0	3	1.0	1	1	3	4	1	3.0	F#4	66	True	F	1	1/2	3.0	3	P2-Staff2	1	1	3.0	1	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
24	12	4.0	4	2.0	2	2	3	4	2	4.0	F#4	66	True	F	1	0	1.0	1	P2-Staff2	1	2	3.0	2	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
24	18	4.0	4	3.0	3	2	3	4	2	4.0	A3	57	False	A	0	0	1.0	1	P2-Staff2	1	2	3.0	2	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
24	18	4.0	4	3.0	3	2	3	4	2	4.0	D4	62	False	D	0	0	1.0	1	P2-Staff2	1	2	3.0	2	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
24	18	4.0	4	3.0	3	2	3	4	2	4.0	F#4	66	False	F	1	0	1.0	1	P2-Staff2	1	2	3.0	2	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
24	18	4.0	4	3.0	3	2	3	4	2	4.0	D3	50	False	D	0	0	1.0	1	P2-Staff2	1	2	3.0	2	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
24	18	4.0	4	3.0	3	2	3	4	2	4.0	F#3	54	False	F	1	0	1.0	1	P2-Staff2	1	2	3.0	2	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
36	6	6.0	6	1.0	1	2	3	4	2	6.0	F#4	66	True	F	1	1/2	3.0	3	P2-Staff2	1	2	3.0	2	I	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	D	D	1	None
42	18	7.0	7	3.0	3	3	3	4	3	7.0	F#3	54	True	F	1	0	1.0	1	P2-Staff2	1	3	3.0	3	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
42	18	7.0	7	3.0	3	3	3	4	3	7.0	B2	47	True	B	0	0	1.0	1	P2-Staff2	1	3	3.0	3	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
42	18	7.0	7	3.0	3	3	3	4	3	7.0	D4	62	True	D	0	0	1.0	1	P2-Staff2	1	3	3.0	3	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
42	18	7.0	7	3.0	3	3	3	4	3	7.0	B3	59	True	B	0	0	1.0	1	P2-Staff2	1	3	3.0	3	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
42	18	7.0	7	3.0	3	3	3	4	3	7.0	D4	62	True	D	0	0	1.0	1	P2-Staff2	1	3	3.0	3	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
60	18	10.0	10	3.0	3	4	3	4	4	10.0	D4	62	False	D	0	0	1.0	1	P2-Staff2	1	4	3.0	4	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
60	18	10.0	10	3.0	3	4	3	4	4	10.0	B3	59	False	B	0	0	1.0	1	P2-Staff2	1	4	3.0	4	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
60	18	10.0	10	3.0	3	4	3	4	4	10.0	D4	62	False	D	0	0	1.0	1	P2-Staff2	1	4	3.0	4	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
60	18	10.0	10	3.0	3	4	3	4	4	10.0	B2	47	False	B	0	0	1.0	1	P2-Staff2	1	4	3.0	4	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
60	18	10.0	10	3.0	3	4	3	4	4	10.0	F#3	54	False	F	1	0	1.0	1	P2-Staff2	1	4	3.0	4	vi	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	D	D	6	None
78	18	13.0	13	3.0	3	5	3	4	5	13.0	D4	62	True	D	0	0	1.0	1	P2-Staff2	1	5	3.0	5	IV	True	('B', 'D', 'G')	B	G	1	major triad	(2, 7, 11)	D	D	4	None
