onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	12	0.0	0	1.0	1	1	3	4	1	0.0	B4	71	True	B	0	0	1.0	1	P2-Staff2	1	1	1.0	0	I	True	('B', 'D#', 'F#')	B	B	0	major triad	(3, 6, 11)	B	B	1	None
0	12	0.0	0	1.0	1	1	3	4	1	0.0	D#5	75	True	D	1	0	1.0	1	P2-Staff2	1	1	1.0	0	I	True	('B', 'D#', 'F#')	B	B	0	major triad	(3, 6, 11)	B	B	1	None
0	12	0.0	0	1.0	1	1	3	4	1	0.0	B5	83	True	B	0	0	1.0	1	P2-Staff2	1	1	1.0	0	I	True	('B', 'D#', 'F#')	B	B	0	major triad	(3, 6, 11)	B	B	1	None
0	12	0.0	0	1.0	1	1	3	4	1	0.0	B1	35	True	B	0	0	1.0	1	P2-Staff2	6	1	1.0	0	I	True	('B', 'D#', 'F#')	B	B	0	major triad	(3, 6, 11)	B	B	1	None
12	18	1.0	1	1.5	3/2	1	3	4	1	1.0	B4	71	True	B	0	1/4	2.0	2	P2-Staff2	1	1	1.5	1	vi	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	B	B	6	None
12	18	1.0	1	1.5	3/2	1	3	4	1	1.0	D#5	75	True	D	1	1/4	2.0	2	P2-Staff2	1	1	1.5	1	vi	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	B	B	6	None
12	18	1.0	1	1.5	3/2	1	3	4	1	1.0	G#5	80	True	G	1	1/4	2.0	2	P2-Staff2	1	1	1.5	1	vi	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	B	B	6	None
12	18	1.0	1	1.5	3/2	1	3	4	1	1.0	D#4	63	True	D	1	1/4	2.0	2	P2-Staff2	1	1	1.5	1	vi	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	B	B	6	None
12	18	1.0	1	1.5	3/2	1	3	4	1	1.0	F#4	66	True	F	1	1/4	2.0	2	P2-Staff2	1	1	1.5	1	vi	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	B	B	6	None
12	6	1.0	1	0.5	1/2	1	3	4	1	1.0	B1	35	False	B	0	1/4	2.0	2	P2-Staff2	6	1	1.5	1	vi	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	B	B	6	None
30	6	2.5	5/2	0.5	1/2	1	3	4	1	2.5	B4	71	True	B	0	5/8	3.5	0	P2-Staff2	1	1	0.5	2	I	True	('D#', 'F#', 'B')	D#	B	1	major triad	(3, 6, 11)	B	B	1	None
30	6	2.5	5/2	0.5	1/2	1	3	4	1	2.5	D#5	75	True	D	1	5/8	3.5	0	P2-Staff2	1	1	0.5	2	I	True	('D#', 'F#', 'B')	D#	B	1	major triad	(3, 6, 11)	B	B	1	None
30	6	2.5	5/2	0.5	1/2	1	3	4	1	2.5	F#5	78	True	F	1	5/8	3.5	0	P2-Staff2	1	1	0.5	2	I	True	('D#', 'F#', 'B')	D#	B	1	major triad	(3, 6, 11)	B	B	1	None
30	6	2.5	5/2	0.5	1/2	1	3	4	1	2.5	D#4	63	True	D	1	5/8	3.5	0	P2-Staff2	1	1	0.5	2	I	True	('D#', 'F#', 'B')	D#	B	1	major triad	(3, 6, 11)	B	B	1	None
30	6	2.5	5/2	0.5	1/2	1	3	4	1	2.5	F#4	66	True	F	1	5/8	3.5	0	P2-Staff2	1	1	0.5	2	I	True	('D#', 'F#', 'B')	D#	B	1	major triad	(3, 6, 11)	B	B	1	None
36	12	3.0	3	1.0	1	2	3	4	2	3.0	A#4	70	True	A	1	0	1.0	1	P2-Staff2	1	2	1.0	3	viio	True	('C#', 'E', 'A#')	C#	A#	1	diminished triad	(1, 4, 10)	B	B	7	None
36	12	3.0	3	1.0	1	2	3	4	2	3.0	E5	76	True	E	0	0	1.0	1	P2-Staff2	1	2	1.0	3	viio	True	('C#', 'E', 'A#')	C#	A#	1	diminished triad	(1, 4, 10)	B	B	7	None
36	12	3.0	3	1.0	1	2	3	4	2	3.0	A#5	82	True	A	1	0	1.0	1	P2-Staff2	1	2	1.0	3	viio	True	('C#', 'E', 'A#')	C#	A#	1	diminished triad	(1, 4, 10)	B	B	7	None
36	12	3.0	3	1.0	1	2	3	4	2	3.0	C#4	61	True	C	1	0	1.0	1	P2-Staff2	1	2	1.0	3	viio	True	('C#', 'E', 'A#')	C#	A#	1	diminished triad	(1, 4, 10)	B	B	7	None
36	12	3.0	3	1.0	1	2	3	4	2	3.0	E4	64	True	E	0	0	1.0	1	P2-Staff2	1	2	1.0	3	viio	True	('C#', 'E', 'A#')	C#	A#	1	diminished triad	(1, 4, 10)	B	B	7	None
48	24	4.0	4	2.0	2	2	3	4	2	4.0	A#4	70	True	A	1	1/4	2.0	2	P2-Staff2	1	2	2.0	4	V9	True	('F#', 'A#', 'C#', 'E', 'G#')	F#	F#	0	dominant-ninth	(1, 4, 6, 8, 10)	B	B	5	None
48	24	4.0	4	2.0	2	2	3	4	2	4.0	E5	76	True	E	0	1/4	2.0	2	P2-Staff2	1	2	2.0	4	V9	True	('F#', 'A#', 'C#', 'E', 'G#')	F#	F#	0	dominant-ninth	(1, 4, 6, 8, 10)	B	B	5	None
48	24	4.0	4	2.0	2	2	3	4	2	4.0	G#5	80	True	G	1	1/4	2.0	2	P2-Staff2	1	2	2.0	4	V9	True	('F#', 'A#', 'C#', 'E', 'G#')	F#	F#	0	dominant-ninth	(1, 4, 6, 8, 10)	B	B	5	None
48	24	4.0	4	2.0	2	2	3	4	2	4.0	C#4	61	True	C	1	1/4	2.0	2	P2-Staff2	1	2	2.0	4	V9	True	('F#', 'A#', 'C#', 'E', 'G#')	F#	F#	0	dominant-ninth	(1, 4, 6, 8, 10)	B	B	5	None
48	24	4.0	4	2.0	2	2	3	4	2	4.0	F#4	66	True	F	1	1/4	2.0	2	P2-Staff2	1	2	2.0	4	V9	True	('F#', 'A#', 'C#', 'E', 'G#')	F#	F#	0	dominant-ninth	(1, 4, 6, 8, 10)	B	B	5	None
72	12	6.0	6	1.0	1	3	3	4	3	6.0	B4	71	True	B	0	0	1.0	1	P2-Staff2	1	3	1.0	5	I	True	('B', 'D#', 'F#')	B	B	0	major triad	(3, 6, 11)	B	B	1	None
72	12	6.0	6	1.0	1	3	3	4	3	6.0	D#5	75	True	D	1	0	1.0	1	P2-Staff2	1	3	1.0	5	I	True	('B', 'D#', 'F#')	B	B	0	major triad	(3, 6, 11)	B	B	1	None
