onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	12	0.0	0	0.5	1/2	1	3	4	1	0.0	G4	67	True	G	0	0	1.0	1	Cello	1	1	1.0	0	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None
0	48	0.0	0	2.0	2	1	3	4	1	0.0	G3	55	True	G	0	0	1.0	1	Cello	1	1	1.0	0	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None
0	24	0.0	0	1.0	1	1	3	4	1	0.0	E-2	39	True	E	-1	0	1.0	1	Cello	1	1	1.0	0	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None
12	12	0.5	1/2	0.5	1/2	1	3	4	1	0.5	B-4	70	True	B	-1	1/8	1.5	0	Cello	1	1	1.0	0	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None
24	12	1.0	1	0.5	1/2	1	3	4	1	1.0	C5	72	True	C	0	1/4	2.0	2	Cello	1	1	1.0	1	V7/ii	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	E-	f	5	2
24	24	1.0	1	1.0	1	1	3	4	1	1.0	E2	40	True	E	0	1/4	2.0	2	Cello	1	1	1.0	1	V7/ii	True	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	E-	f	5	2
36	12	1.5	3/2	0.5	1/2	1	3	4	1	1.5	B-4	70	True	B	-1	3/8	2.5	0	Cello	1	1	1.0	1	V7/ii	False	('E', 'G', 'B-', 'C')	E	C	1	dominant seventh chord	(0, 4, 7, 10)	E-	f	5	2
48	18	2.0	2	0.75	3/4	1	3	4	1	2.0	B-3	58	True	B	-1	1/2	3.0	3	Cello	1	1	0.75	2	ii	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	E-	E-	2	None
48	12	2.0	2	0.5	1/2	1	3	4	1	2.0	A-4	68	True	A	-1	1/2	3.0	3	Cello	1	1	0.75	2	ii	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	E-	E-	2	None
48	12	2.0	2	0.5	1/2	1	3	4	1	2.0	F3	53	True	F	0	1/2	3.0	3	Cello	1	1	0.75	2	ii	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	E-	E-	2	None
