onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	2	0.0	0	0.5	1/2	0	2	2	1	0.0	E4	64	True	E	0	0	1.0	1	P2-Staff2	1	0	0.5	0	i	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
2	14	0.5	1/2	3.5	7/2	1	2	2	2	0.25	E4	64	True	E	0	0	1.0	1	P2-Staff2	1	1	4.0	1	i	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
2	16	0.5	1/2	4.0	4	1	2	2	2	0.25	E2	40	True	E	0	0	1.0	1	P2-Staff2	1	1	4.0	1	i	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
2	16	0.5	1/2	4.0	4	1	2	2	2	0.25	E3	52	True	E	0	0	1.0	1	P2-Staff2	1	1	4.0	1	i	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
8	2	2.0	2	0.5	1/2	1	2	2	2	1.0	B4	71	True	B	0	3/8	1.75	0	P2-Staff2	1	1	4.0	1	i	False	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
10	6	2.5	5/2	1.5	3/2	1	2	2	2	1.25	A4	69	True	A	0	1/2	2.0	2	P2-Staff2	1	1	4.0	1	i	False	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
16	2	4.0	4	0.5	1/2	1	2	2	2	2.0	E4	64	True	E	0	7/8	2.75	0	P2-Staff2	1	1	4.0	1	i	False	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
16	2	4.0	4	0.5	1/2	1	2	2	2	2.0	E4	64	True	E	0	7/8	2.75	0	P2-Staff2	1	1	4.0	1	i	False	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	e	e	1	None	i	True
18	8	4.5	9/2	2.0	2	2	2	2	3	2.25	F#4	66	True	F	1	0	1.0	1	P2-Staff2	5	2	4.0	2	viio7	True	('F#', 'A', 'C', 'D#')	F#	D#	1	diminished seventh chord	(0, 3, 6, 9)	e	e	#7	None	viio7	True
18	4	4.5	9/2	1.0	1	2	2	2	3	2.25	D#4	63	True	D	1	0	1.0	1	P2-Staff2	5	2	4.0	2	viio7	True	('F#', 'A', 'C', 'D#')	F#	D#	1	diminished seventh chord	(0, 3, 6, 9)	e	e	#7	None	viio7	True
