j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0.5	1	['E-3', 'G4', 'B-4']	['M3', 'P5']	[True, True, True]	1.0	4.0	0.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
0.5	0.5	1	['E-2', 'G4', 'B-4']	['M3', 'P5']	[True, False, False]	1.0	4.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
1.0	0.5	1	['A-4', 'C5']	['M3']	[True, True]	1.0	4.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
1.5	0.5	1	['F4', 'A-4']	['m3']	[True, True]	1.0	4.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
2.0	0.5	1	['E-3', 'E-4', 'G4']	['P1', 'M3']	[True, True, True]	1.0	4.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
2.5	0.5	1	['E-2', 'B-3', 'G4']	['P5', 'M3']	[True, True, False]	1.0	4.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
3.0	0.5	1	['C4', 'A-4']	['m6']	[True, True]	1.0	4.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
3.5	0.5	1	['A-3', 'F4']	['M6']	[True, True]	1.0	4.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
4.0	0.5	2	['E-3', 'G3', 'E-4']	['M3', 'P1']	[True, True, True]	2.0	4.0	1.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
4.5	0.5	2	['E-2', 'G3', 'E-4']	['M3', 'P1']	[True, False, False]	2.0	4.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
5.0	0.5	2	['E-2', 'G3', 'D4']	['M3', 'M7']	[True, False, True]	2.0	4.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
5.5	0.5	2	['E-2', 'A-3', 'C4']	['P4', 'M6']	[True, True, True]	2.0	4.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
6.0	0.5	2	['E-2', 'G3', 'B-3']	['M3', 'P5']	[True, True, True]	2.0	4.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
6.5	0.5	2	['E-3', 'G3', 'B-3']	['M3', 'P5']	[True, True, True]	2.0	4.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
7.0	0.5	2	['D3', 'F3', 'B-3']	['m3', 'm6']	[True, True, True]	2.0	4.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
7.5	0.5	2	['C3', 'E-3', 'B-3']	['m3', 'm7']	[True, True, True]	2.0	4.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
8.0	0.5	3	['B-2', 'D3', 'B-3']	['M3', 'P1']	[True, True, True]	3.0	4.0	2.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
8.5	0.5	3	['A-2', 'B-3', 'C4']	['M2', 'M3']	[True, False, True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
9.0	0.5	3	['G2', 'B-3']	['m3']	[True, False]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
9.5	0.25	3	['F2', 'A-3', 'C4']	['m3', 'P5']	[True, True, True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
9.75	0.25	3	['F2', 'A-3', 'D4']	['m3', 'M6']	[False, False, True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
10.0	0.25	3	['E-2', 'G3', 'E-4']	['M3', 'P1']	[True, True, True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
10.25	0.25	3	['E-2', 'G3', 'F4']	['M3', 'M2']	[False, False, True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
10.5	0.25	3	['E-2', 'G3', 'G4']	['M3', 'M3']	[False, False, True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
10.75	0.25	3	['E-2', 'G3', 'A-4']	['M3', 'P4']	[False, False, True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
11.0	0.25	3	['B-4']	[]	[True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
11.25	0.25	3	['C5']	[]	[True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
11.5	0.25	3	['D5']	[]	[True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
11.75	0.25	3	['E-5']	[]	[True]	3.0	4.0	2.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
12.0	0.5	4	['B-4']	[]	[True]	4.0	1.0	3.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
12.5	0.5	4	['G4', 'B-4']	['m3']	[True, False]	4.0	1.0	3.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
13.0	0.5	4	['F4', 'A-4']	['m3']	[True, True]	4.0	1.0	4.0	V7	True	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
13.5	0.5	4	['B-3', 'A-4']	['m7']	[True, False]	4.0	1.0	4.0	V7	False	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
14.0	0.3333	4	['E-4', 'G4']	['M3']	[True, True]	4.0	2.0	5.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
14.3333	0.1667	4	['E-4', 'G4']	['M3']	[False, False]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
14.5	0.5	4	['E-2', 'E-4', 'G4']	['P1', 'M3']	[True, False, False]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
15.0	0.1667	4	['G2']	[]	[True]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
15.1667	0.1667	4	['E-2']	[]	[True]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
15.3333	0.1667	4	['G2']	[]	[True]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
15.5	0.1667	4	['B-2']	[]	[True]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
15.6667	0.1667	4	['G2']	[]	[True]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
15.8333	0.1667	4	['B-2']	[]	[True]	4.0	2.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
16.0	0.5	5	['E-3', 'G4', 'B-4']	['M3', 'P5']	[True, True, True]	5.0	4.0	6.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
16.5	0.5	5	['E-2', 'G4', 'B-4']	['M3', 'P5']	[True, False, False]	5.0	4.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
17.0	0.5	5	['A-4', 'C5']	['M3']	[True, True]	5.0	4.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
17.5	0.5	5	['F4', 'A-4']	['m3']	[True, True]	5.0	4.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
18.0	0.5	5	['E-3', 'E-4', 'G4']	['P1', 'M3']	[True, True, True]	5.0	4.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
18.5	0.5	5	['E-2', 'B-3', 'G4']	['P5', 'M3']	[True, True, False]	5.0	4.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
19.0	0.5	5	['C4', 'A-4']	['m6']	[True, True]	5.0	4.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
19.5	0.5	5	['A-3', 'F4']	['M6']	[True, True]	5.0	4.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
20.0	0.5	6	['G3', 'E-4']	['m6']	[True, True]	6.0	3.0	7.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
20.5	0.5	6	['E-4']	[]	[False]	6.0	3.0	7.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
21.0	0.5	6	['D4', 'F4']	['m3']	[True, True]	6.0	3.0	7.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
21.5	0.25	6	['B-3', 'F4']	['P5']	[True, False]	6.0	3.0	7.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
21.75	0.125	6	['B-3', 'E-4']	['P4']	[False, True]	6.0	3.0	7.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
21.875	0.125	6	['B-3', 'F4']	['P5']	[False, True]	6.0	3.0	7.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
22.0	0.5	6	['E-4', 'G4']	['M3']	[True, True]	6.0	3.0	7.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
22.5	0.5	6	['D4', 'G4']	['P4']	[True, False]	6.0	3.0	7.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
23.0	0.5	6	['C4', 'A4']	['M6']	[True, True]	6.0	1.0	8.0	V7/V	True	('C', 'E-', 'F', 'A')	C	F	2.0	dominant seventh chord	(0, 3, 5, 9)	E-	B-	5	5
23.5	0.25	6	['F4', 'A4']	['M3']	[True, False]	6.0	1.0	8.0	V7/V	False	('C', 'E-', 'F', 'A')	C	F	2.0	dominant seventh chord	(0, 3, 5, 9)	E-	B-	5	5
