j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0	0.5	1/2	1	C2	36	True	P1-Staff2	5	1.0	4.0	0.0	I	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
0.5	1/2	0.5	1/2	1	C3	48	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
0.5	1/2	0.5	1/2	1	E3	52	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
0.5	1/2	0.5	1/2	1	C2	36	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
0.5	1/2	0.5	1/2	1	G2	43	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.0	1	0.5	1/2	1	C3	48	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.0	1	0.5	1/2	1	E3	52	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.0	1	0.5	1/2	1	C2	36	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.0	1	0.5	1/2	1	G2	43	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.5	3/2	0.5	1/2	1	C3	48	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.5	3/2	0.5	1/2	1	E3	52	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.5	3/2	0.5	1/2	1	C2	36	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
1.5	3/2	0.5	1/2	1	G2	43	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
2.0	2	0.5	1/2	1	C3	48	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
2.0	2	0.5	1/2	1	E3	52	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
2.0	2	0.5	1/2	1	C2	36	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
2.0	2	0.5	1/2	1	G2	43	True	P1-Staff2	1	1.0	4.0	0.0	I	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	C	C	1	None
