j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	1.0	1.0	['E-2', 'G2', 'B-2', 'E-3', 'B-3', 'E-4', 'G4', 'B-4']	['M3', 'P5', 'P1', 'P5', 'P1', 'M3', 'P5']	[True, True, True, True, True, True, True, True]	1.0	2.0	0.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
1.0	0.5	1.0	['E-4', 'G4']	['M3']	[True, True]	1.0	2.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
1.5	0.5	1.0	['E-4', 'G4']	['M3']	[True, True]	1.0	2.0	0.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
2.0	0.5	2.0	['E-4', 'G4']	['M3']	[True, True]	2.0	2.0	1.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
2.5	0.5	2.0	['E-3', 'E-4', 'G4']	['P1', 'M3']	[True, False, False]	2.0	2.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
3.0	0.5	2.0	['E-2', 'E-4', 'G4']	['P1', 'M3']	[True, False, False]	2.0	2.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
3.5	0.5	2.0	['G2', 'B-3', 'E-4']	['m3', 'm6']	[True, True, True]	2.0	2.0	1.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
4.0	0.5	3.0	['B-2', 'D4', 'F4']	['M3', 'P5']	[True, True, True]	3.0	1.5	2.0	V	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	E-	E-	5	None
4.5	0.5	3.0	['B-2', 'D4', 'F4']	['M3', 'P5']	[False, True, True]	3.0	1.5	2.0	V	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	E-	E-	5	None
5.0	0.5	3.0	['B-2', 'D4', 'F4']	['M3', 'P5']	[False, True, True]	3.0	1.5	2.0	V	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	E-	E-	5	None
5.5	0.5	3.0	['E-3', 'E-4', 'G4']	['P1', 'M3']	[True, True, True]	3.0	0.5	3.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
6.0	0.5	4.0	['D3', 'F4', 'B-4']	['m3', 'm6']	[True, True, True]	4.0	1.0	4.0	V7	True	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
6.5	0.5	4.0	['B-2', 'F4', 'A-4']	['P5', 'm7']	[True, False, True]	4.0	1.0	4.0	V7	False	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
7.0	0.5	4.0	['E-3', 'E-4', 'G4']	['P1', 'M3']	[True, True, True]	4.0	1.0	5.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
7.5	0.5	4.0	['E-2']	[]	[True]	4.0	1.0	5.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
8.0	0.5	5.0	['E-3', 'G3', 'B-3', 'G4', 'B-4', 'E-5']	['M3', 'P5', 'M3', 'P5', 'P1']	[True, True, True, True, True, True]	5.0	1.0	6.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
8.5	0.5	5.0	['E-3', 'G3', 'B-3', 'E-5']	['M3', 'P5', 'P1']	[False, True, True, False]	5.0	1.0	6.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
9.0	0.5	5.0	['E-3', 'A-3', 'B-3', 'D5']	['P4', 'P5', 'M7']	[False, True, True, True]	5.0	1.0	7.0	V7	True	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
9.5	0.25	5.0	['E-3', 'A-3', 'B-3', 'D5']	['P4', 'P5', 'M7']	[False, True, True, True]	5.0	1.0	7.0	V7	False	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
9.75	0.25	5.0	['E-3', 'A-3', 'B-3', 'F5']	['P4', 'P5', 'M2']	[False, False, False, True]	5.0	1.0	7.0	V7	False	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
10.0	0.5	6.0	['E-3', 'G3', 'B-3', 'E-5']	['M3', 'P5', 'P1']	[True, True, True, True]	6.0	1.0	8.0	I	True	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
10.5	0.5	6.0	['E-3', 'G3', 'B-3', 'E-5']	['M3', 'P5', 'P1']	[False, True, True, False]	6.0	1.0	8.0	I	False	('E-', 'G', 'B-')	E-	E-	0.0	major triad	(3, 7, 10)	E-	E-	1	None
11.0	0.5	6.0	['E-3', 'A-3', 'B-3', 'D5']	['P4', 'P5', 'M7']	[False, True, True, True]	6.0	1.0	9.0	V7	True	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
11.5	0.25	6.0	['E-3', 'A-3', 'B-3', 'D5']	['P4', 'P5', 'M7']	[False, True, True, True]	6.0	1.0	9.0	V7	False	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
11.75	0.25	6.0	['E-3', 'A-3', 'B-3', 'F5']	['P4', 'P5', 'M2']	[False, False, False, True]	6.0	1.0	9.0	V7	False	('B-', 'D', 'F', 'A-')	B-	B-	0.0	dominant seventh chord	(2, 5, 8, 10)	E-	E-	5	None
