	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0.0	56.0	0.0	0	2.3333	7/3	1.0	F4	65.0	True	spine_0	1	1.0	4.0	0.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
1	12.0	12.0	0.5	1/2	0.5	1/2	1.0	C4	60.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
2	12.0	12.0	0.5	1/2	0.5	1/2	1.0	A-3	56.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
3	12.0	12.0	0.5	1/2	0.5	1/2	1.0	F3	53.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
4	24.0	12.0	1.0	1	0.5	1/2	1.0	C4	60.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
5	24.0	12.0	1.0	1	0.5	1/2	1.0	A-3	56.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
6	24.0	12.0	1.0	1	0.5	1/2	1.0	F3	53.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
7	36.0	12.0	1.5	3/2	0.5	1/2	1.0	A-3	56.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
8	36.0	12.0	1.5	3/2	0.5	1/2	1.0	F3	53.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
9	36.0	12.0	1.5	3/2	0.5	1/2	1.0	C4	60.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
10	48.0	24.0	2.0	2	1.0	1	1.0	C4	60.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
11	48.0	24.0	2.0	2	1.0	1	1.0	A-3	56.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
12	48.0	24.0	2.0	2	1.0	1	1.0	F3	53.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
13	56.0	4.0	2.3333	7/3	0.1667	1/6	1.0	F4	65.0	False	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
14	60.0	12.0	2.5	5/2	0.5	1/2	1.0	A-4	68.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
15	72.0	12.0	3.0	3	0.5	1/2	1.0	E4	64.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
16	84.0	12.0	3.5	7/2	0.5	1/2	1.0	F4	65.0	True	spine_0	1	1.0	4.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
17	96.0	56.0	4.0	4	2.3333	7/3	2.0	G4	67.0	True	spine_0	1	2.0	4.0	1.0	V7	True	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
18	108.0	12.0	4.5	9/2	0.5	1/2	2.0	E3	52.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
19	108.0	12.0	4.5	9/2	0.5	1/2	2.0	C4	60.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
20	108.0	12.0	4.5	9/2	0.5	1/2	2.0	B-3	58.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
21	120.0	12.0	5.0	5	0.5	1/2	2.0	B-3	58.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
22	120.0	12.0	5.0	5	0.5	1/2	2.0	C4	60.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
23	120.0	12.0	5.0	5	0.5	1/2	2.0	E3	52.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
24	132.0	12.0	5.5	11/2	0.5	1/2	2.0	B-3	58.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
25	132.0	12.0	5.5	11/2	0.5	1/2	2.0	C4	60.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
26	132.0	12.0	5.5	11/2	0.5	1/2	2.0	E3	52.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
27	144.0	24.0	6.0	6	1.0	1	2.0	C4	60.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
28	144.0	24.0	6.0	6	1.0	1	2.0	E3	52.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
29	144.0	24.0	6.0	6	1.0	1	2.0	B-3	58.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
30	152.0	4.0	6.3333	19/3	0.1667	1/6	2.0	G4	67.0	False	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
31	156.0	12.0	6.5	13/2	0.5	1/2	2.0	B-4	70.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
32	168.0	12.0	7.0	7	0.5	1/2	2.0	D-4	61.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
33	180.0	12.0	7.5	15/2	0.5	1/2	2.0	C4	60.0	True	spine_0	1	2.0	4.0	1.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	f	f	5	None
34	192.0	56.0	8.0	8	2.3333	7/3	3.0	A-4	68.0	True	spine_0	1	3.0	4.0	2.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
35	204.0	12.0	8.5	17/2	0.5	1/2	3.0	F3	53.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
36	204.0	12.0	8.5	17/2	0.5	1/2	3.0	A-3	56.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
37	204.0	12.0	8.5	17/2	0.5	1/2	3.0	C4	60.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
38	216.0	12.0	9.0	9	0.5	1/2	3.0	C4	60.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
39	216.0	12.0	9.0	9	0.5	1/2	3.0	F3	53.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
40	216.0	12.0	9.0	9	0.5	1/2	3.0	A-3	56.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
41	228.0	12.0	9.5	19/2	0.5	1/2	3.0	A-3	56.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
42	228.0	12.0	9.5	19/2	0.5	1/2	3.0	C4	60.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
43	228.0	12.0	9.5	19/2	0.5	1/2	3.0	F3	53.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
44	240.0	24.0	10.0	10	1.0	1	3.0	A-3	56.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
45	240.0	24.0	10.0	10	1.0	1	3.0	C4	60.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
46	240.0	24.0	10.0	10	1.0	1	3.0	F3	53.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
47	248.0	4.0	10.3333	31/3	0.1667	1/6	3.0	A-4	68.0	False	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
48	252.0	12.0	10.5	21/2	0.5	1/2	3.0	C5	72.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
49	264.0	12.0	11.0	11	0.5	1/2	3.0	E4	64.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
50	276.0	12.0	11.5	23/2	0.5	1/2	3.0	F4	65.0	True	spine_0	1	3.0	4.0	2.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
51	288.0	24.0	12.0	12	1.0	1	4.0	D-4	61.0	True	spine_0	1	4.0	2.75	3.0	iio	True	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
52	288.0	24.0	12.0	12	1.0	1	4.0	G3	55.0	True	spine_0	1	4.0	2.75	3.0	iio	True	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
53	288.0	24.0	12.0	12	1.0	1	4.0	B-2	46.0	True	spine_0	1	4.0	2.75	3.0	iio	True	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
54	300.0	12.0	12.5	25/2	0.5	1/2	4.0	G4	67.0	True	spine_0	1	4.0	2.75	3.0	iio	False	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
55	312.0	12.0	13.0	13	0.5	1/2	4.0	B-4	70.0	True	spine_0	1	4.0	2.75	3.0	iio	False	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
56	324.0	12.0	13.5	27/2	0.5	1/2	4.0	D-5	73.0	True	spine_0	1	4.0	2.75	3.0	iio	False	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
57	336.0	12.0	14.0	14	0.5	1/2	4.0	C5	72.0	True	spine_0	1	4.0	2.75	3.0	iio	False	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
58	348.0	6.0	14.5	29/2	0.25	1/4	4.0	B-4	70.0	True	spine_0	1	4.0	2.75	3.0	iio	False	('G', 'B-', 'D-')	G	G	0.0	diminished triad	(1, 7, 10)	f	f	2	None
