onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	4	0.0	0	1.0	1	1	4	4	1	0.0	G#3	56	True	G	1	0	1.0	1	P2-Staff2	1	1	4.0	0	i	True	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
0	4	0.0	0	1.0	1	1	4	4	1	0.0	G#2	44	True	G	1	0	1.0	1	P2-Staff2	1	1	4.0	0	i	True	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
4	4	1.0	1	1.0	1	1	4	4	1	1.0	D#4	63	True	D	1	1/4	2.0	2	P2-Staff2	1	1	4.0	0	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
4	4	1.0	1	1.0	1	1	4	4	1	1.0	D#3	51	True	D	1	1/4	2.0	2	P2-Staff2	1	1	4.0	0	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
8	4	2.0	2	1.0	1	1	4	4	1	2.0	B4	71	True	B	0	1/2	3.0	3	P2-Staff2	1	1	4.0	0	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
8	4	2.0	2	1.0	1	1	4	4	1	2.0	B3	59	True	B	0	1/2	3.0	3	P2-Staff2	1	1	4.0	0	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
12	4	3.0	3	1.0	1	1	4	4	1	3.0	A#4	70	True	A	1	3/4	4.0	4	P2-Staff2	1	1	4.0	0	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
12	4	3.0	3	1.0	1	1	4	4	1	3.0	A#3	58	True	A	1	3/4	4.0	4	P2-Staff2	1	1	4.0	0	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
16	4	4.0	4	1.0	1	2	4	4	2	4.0	G#4	68	True	G	1	0	1.0	1	P2-Staff2	1	2	4.0	1	i	True	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
16	4	4.0	4	1.0	1	2	4	4	2	4.0	G#3	56	True	G	1	0	1.0	1	P2-Staff2	1	2	4.0	1	i	True	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
20	4	5.0	5	1.0	1	2	4	4	2	5.0	F#4	66	True	F	1	1/4	2.0	2	P2-Staff2	1	2	4.0	1	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
20	4	5.0	5	1.0	1	2	4	4	2	5.0	F#3	54	True	F	1	1/4	2.0	2	P2-Staff2	1	2	4.0	1	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
24	4	6.0	6	1.0	1	2	4	4	2	6.0	E4	64	True	E	0	1/2	3.0	3	P2-Staff2	1	2	4.0	1	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
24	4	6.0	6	1.0	1	2	4	4	2	6.0	E3	52	True	E	0	1/2	3.0	3	P2-Staff2	1	2	4.0	1	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
28	4	7.0	7	1.0	1	2	4	4	2	7.0	G#4	68	True	G	1	3/4	4.0	4	P2-Staff2	1	2	4.0	1	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
28	4	7.0	7	1.0	1	2	4	4	2	7.0	D#4	63	True	D	1	3/4	4.0	4	P2-Staff2	1	2	4.0	1	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
28	4	7.0	7	1.0	1	2	4	4	2	7.0	D#3	51	True	D	1	3/4	4.0	4	P2-Staff2	1	2	4.0	1	i	False	('G#', 'B', 'D#')	G#	G#	0	minor triad	(3, 8, 11)	g#	g#	1	None	i	True
32	8	8.0	8	2.0	2	3	4	4	3	8.0	E5	76	True	E	0	0	1.0	1	P2-Staff2	1	3	3.0	2	i	True	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
32	4	8.0	8	1.0	1	3	4	4	3	8.0	C#4	61	True	C	1	0	1.0	1	P2-Staff2	1	3	3.0	2	i	True	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
32	4	8.0	8	1.0	1	3	4	4	3	8.0	C#3	49	True	C	1	0	1.0	1	P2-Staff2	1	3	3.0	2	i	True	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
36	4	9.0	9	1.0	1	3	4	4	3	9.0	G#4	68	True	G	1	1/4	2.0	2	P2-Staff2	1	3	3.0	2	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
36	4	9.0	9	1.0	1	3	4	4	3	9.0	G#3	56	True	G	1	1/4	2.0	2	P2-Staff2	1	3	3.0	2	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
