onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	4	0.0	0	1.0	1	0	4	4	0	0.0	G4	67	True	G	0	0	1.0	1	Bass	1	0	1.0	0	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
0	4	0.0	0	1.0	1	0	4	4	0	0.0	D4	62	True	D	0	0	1.0	1	Bass	1	0	1.0	0	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
0	4	0.0	0	1.0	1	0	4	4	0	0.0	B3	59	True	B	0	0	1.0	1	Bass	1	0	1.0	0	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
0	2	0.0	0	0.5	1/2	0	4	4	0	0.0	G3	55	True	G	0	0	1.0	1	Bass	1	0	1.0	0	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
2	2	0.5	1/2	0.5	1/2	0	4	4	0	0.5	F#3	54	True	F	1	1/8	1.5	0	Bass	1	0	1.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
4	4	1.0	1	1.0	1	1	4	4	1	1.0	G4	67	True	G	0	0	1.0	1	Bass	1	1	1.0	1	vi	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	G	G	6	None	vi	True
4	4	1.0	1	1.0	1	1	4	4	1	1.0	E4	64	True	E	0	0	1.0	1	Bass	1	1	1.0	1	vi	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	G	G	6	None	vi	True
4	2	1.0	1	0.5	1/2	1	4	4	1	1.0	B3	59	True	B	0	0	1.0	1	Bass	1	1	1.0	1	vi	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	G	G	6	None	vi	True
4	4	1.0	1	1.0	1	1	4	4	1	1.0	E3	52	True	E	0	0	1.0	1	Bass	1	1	1.0	1	vi	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	G	G	6	None	vi	True
6	4	1.5	3/2	1.0	1	1	4	4	1	1.5	C4	60	True	C	0	1/8	1.5	0	Bass	1	1	1.0	1	vi	False	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	G	G	6	None	vi	True
8	4	2.0	2	1.0	1	1	4	4	1	2.0	A4	69	True	A	0	1/4	2.0	2	Bass	1	1	1.0	2	V7	True	('D', 'F#', 'A', 'C')	D	D	0	dominant seventh chord	(0, 2, 6, 9)	G	G	5	None	V7	True
8	4	2.0	2	1.0	1	1	4	4	1	2.0	F#4	66	True	F	1	1/4	2.0	2	Bass	1	1	1.0	2	V7	True	('D', 'F#', 'A', 'C')	D	D	0	dominant seventh chord	(0, 2, 6, 9)	G	G	5	None	V7	True
8	4	2.0	2	1.0	1	1	4	4	1	2.0	D3	50	True	D	0	1/4	2.0	2	Bass	1	1	1.0	2	V7	True	('D', 'F#', 'A', 'C')	D	D	0	dominant seventh chord	(0, 2, 6, 9)	G	G	5	None	V7	True
10	2	2.5	5/2	0.5	1/2	1	4	4	1	2.5	D4	62	True	D	0	3/8	2.5	0	Bass	1	1	1.0	2	V7	False	('D', 'F#', 'A', 'C')	D	D	0	dominant seventh chord	(0, 2, 6, 9)	G	G	5	None	V7	True
12	2	3.0	3	0.5	1/2	1	4	4	1	3.0	B4	71	True	B	0	1/2	3.0	3	Bass	1	1	0.5	3	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
12	2	3.0	3	0.5	1/2	1	4	4	1	3.0	D4	62	True	D	0	1/2	3.0	3	Bass	1	1	0.5	3	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
12	2	3.0	3	0.5	1/2	1	4	4	1	3.0	B3	59	True	B	0	1/2	3.0	3	Bass	1	1	0.5	3	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
12	4	3.0	3	1.0	1	1	4	4	1	3.0	G3	55	True	G	0	1/2	3.0	3	Bass	1	1	0.5	3	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
14	2	3.5	7/2	0.5	1/2	1	4	4	1	3.5	C#5	73	True	C	1	5/8	3.5	0	Bass	1	1	0.5	4	V7	True	('G', 'A', 'C#', 'E')	G	A	3	dominant seventh chord	(1, 4, 7, 9)	D	D	5	None	V7	True
