	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0	48	0.0	0	2.0	2	1	C#3	49	True	P1-Staff2	1	1.0	4.0	0.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
1	0	48	0.0	0	2.0	2	1	E3	52	True	P1-Staff2	1	1.0	4.0	0.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
2	0	48	0.0	0	2.0	2	1	A3	57	True	P1-Staff2	1	1.0	4.0	0.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
3	0	96	0.0	0	4.0	4	1	C#2	37	True	P1-Staff2	1	1.0	4.0	0.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
4	0	96	0.0	0	4.0	4	1	E2	40	True	P1-Staff2	1	1.0	4.0	0.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
5	0	96	0.0	0	4.0	4	1	A2	45	True	P1-Staff2	1	1.0	4.0	0.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
6	48	24	2.0	2	1.0	1	1	C#4	61	True	P1-Staff2	1	1.0	4.0	0.0	V	False	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
7	72	24	3.0	3	1.0	1	1	E4	64	True	P1-Staff2	1	1.0	4.0	0.0	V	False	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
8	96	72	4.0	4	3.0	3	2	A4	69	True	P1-Staff2	1	2.0	3.0	1.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
9	96	72	4.0	4	3.0	3	2	C#2	37	False	P1-Staff2	1	2.0	3.0	1.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
10	96	72	4.0	4	3.0	3	2	E2	40	False	P1-Staff2	1	2.0	3.0	1.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
11	96	72	4.0	4	3.0	3	2	A2	45	False	P1-Staff2	1	2.0	3.0	1.0	V	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	d	d	5	None
