j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0.5	1.0	['D3', 'A4', 'F#5']	['P5', 'M3']	[True, True, True]	1.0	1.0	0.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
0.5	0.5	1.0	['D3', 'A4', 'F#5']	['P5', 'M3']	[True, True, True]	1.0	1.0	0.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
1.0	0.5	1.0	['A2', 'G4', 'E5']	['m7', 'P5']	[True, True, True]	1.0	1.0	1.0	V7	True	('A', 'C#', 'E', 'G')	A	A	0.0	dominant seventh chord	(1, 4, 7, 9)	D	D	5	None
1.5	0.5	1.0	['A2', 'G4', 'E5']	['m7', 'P5']	[True, True, True]	1.0	1.0	1.0	V7	False	('A', 'C#', 'E', 'G')	A	A	0.0	dominant seventh chord	(1, 4, 7, 9)	D	D	5	None
2.0	1.0	2.0	['B2', 'F#4', 'D5']	['P5', 'm3']	[True, True, True]	2.0	2.0	2.0	vi	True	('B', 'D', 'F#')	B	B	0.0	minor triad	(2, 6, 11)	D	D	6	None
3.0	0.75	2.0	['B2', 'F#4', 'D5']	['P5', 'm3']	[True, True, True]	2.0	2.0	2.0	vi	False	('B', 'D', 'F#')	B	B	0.0	minor triad	(2, 6, 11)	D	D	6	None
3.75	0.25	2.0	['C#5']	[]	[True]	2.0	2.0	2.0	vi	False	('B', 'D', 'F#')	B	B	0.0	minor triad	(2, 6, 11)	D	D	6	None
4.0	0.5	3.0	['G2', 'G4', 'B4']	['P1', 'M3']	[True, True, True]	3.0	2.0	3.0	IV	True	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	D	D	4	None
4.5	0.5	3.0	['G2', 'G4', 'B4']	['P1', 'M3']	[True, True, True]	3.0	2.0	3.0	IV	False	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	D	D	4	None
5.0	0.5	3.0	['B2', 'G4', 'B4']	['m6', 'P1']	[True, True, True]	3.0	2.0	3.0	IV	False	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	D	D	4	None
5.5	0.5	3.0	['B2', 'G4', 'B4']	['m6', 'P1']	[True, True, True]	3.0	2.0	3.0	IV	False	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	D	D	4	None
6.0	0.5	4.0	['D3', 'F#4', 'A4']	['M3', 'P5']	[True, True, True]	4.0	2.0	4.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
6.5	1.5	4.0	['D3', 'F#4', 'A4']	['M3', 'P5']	[True, True, True]	4.0	2.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
8.0	0.5	5.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]	5.0	2.0	5.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
8.5	0.5	5.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]	5.0	2.0	5.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
9.0	1.0	5.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]	5.0	2.0	5.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
10.0	0.5	6.0	['C#3', 'A3', 'E4', 'G4']	['m6', 'm3', 'd5']	[True, False, True, True]	6.0	2.0	6.0	V7	True	('C#', 'E', 'G', 'A')	C#	A	1.0	dominant seventh chord	(1, 4, 7, 9)	D	D	5	None
10.5	0.5	6.0	['C#3', 'A3', 'E4', 'G4']	['m6', 'm3', 'd5']	[True, False, True, True]	6.0	2.0	6.0	V7	False	('C#', 'E', 'G', 'A')	C#	A	1.0	dominant seventh chord	(1, 4, 7, 9)	D	D	5	None
11.0	1.0	6.0	['C#3', 'A3', 'E4', 'G4']	['m6', 'm3', 'd5']	[True, True, True, True]	6.0	2.0	6.0	V7	False	('C#', 'E', 'G', 'A')	C#	A	1.0	dominant seventh chord	(1, 4, 7, 9)	D	D	5	None
12.0	0.5	7.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, False, True, True]	7.0	2.0	7.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
12.5	0.5	7.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, False, True, True]	7.0	2.0	7.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
13.0	1.0	7.0	['D3', 'A3', 'D4', 'F#4']	['P5', 'P1', 'M3']	[True, True, True, True]	7.0	2.0	7.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
14.0	1.0	8.0	['A2', 'A3', 'C#4', 'E4']	['P1', 'M3', 'P5']	[True, True, True, True]	8.0	2.0	8.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
