j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0	3.0	3	1	F3	53	True	Cello	1	1.0	3.0	0.0	I	True	('F', 'A-', 'D-')	F	D-	1.0	major triad	(1, 5, 8)	D-	D-	1	None
1.5	3/2	1.5	3/2	1	A-3	56	True	Cello	1	1.0	3.0	0.0	I	False	('F', 'A-', 'D-')	F	D-	1.0	major triad	(1, 5, 8)	D-	D-	1	None
3.0	3	1.5	3/2	2	D-4	61	True	Cello	1	2.0	1.5	1.0	I	True	('F', 'A-', 'D-')	F	D-	1.0	major triad	(1, 5, 8)	D-	D-	1	None
3.0	3	1.5	3/2	2	A-3	56	False	Cello	1	2.0	1.5	1.0	I	True	('F', 'A-', 'D-')	F	D-	1.0	major triad	(1, 5, 8)	D-	D-	1	None
3.0	3	1.5	3/2	2	F3	53	False	Cello	1	2.0	1.5	1.0	I	True	('F', 'A-', 'D-')	F	D-	1.0	major triad	(1, 5, 8)	D-	D-	1	None
4.5	9/2	1.5	3/2	2	D-4	61	False	Cello	1	2.0	1.5	2.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
4.5	9/2	1.5	3/2	2	F4	65	True	Cello	1	2.0	1.5	2.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
4.5	9/2	1.5	3/2	2	A-3	56	False	Cello	1	2.0	1.5	2.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
4.5	9/2	1.5	3/2	2	F3	53	False	Cello	1	2.0	1.5	2.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
4.5	9/2	1.5	3/2	2	D-2	37	True	Cello	1	2.0	1.5	2.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
4.5	9/2	1.5	3/2	2	D-3	49	True	Cello	1	2.0	1.5	2.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
6.0	6	0.5	1/2	3	D-4	61	True	Cello	1	3.0	1.5	3.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
6.0	6	3.0	3	3	A-3	56	True	Cello	1	3.0	1.5	3.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
6.0	6	1.5	3/2	3	F3	53	True	Cello	1	3.0	1.5	3.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
6.0	6	1.5	3/2	3	D-2	37	True	Cello	1	3.0	1.5	3.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
6.0	6	3.0	3	3	A-2	44	True	Cello	2	3.0	1.5	3.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
6.5	13/2	0.5	1/2	3	C4	60	True	Cello	1	3.0	1.5	3.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
7.0	7	0.5	1/2	3	B-3	58	True	Cello	1	3.0	1.5	3.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
7.5	15/2	0.5	1/2	3	A-3	56	True	Cello	1	3.0	1.5	4.0	V7	True	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
7.5	15/2	1.5	3/2	3	G-3	54	True	Cello	1	3.0	1.5	4.0	V7	True	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
7.5	15/2	1.5	3/2	3	E-2	39	True	Cello	1	3.0	1.5	4.0	V7	True	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
8.0	8	0.5	1/2	3	B-3	58	True	Cello	1	3.0	1.5	4.0	V7	False	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
8.5	17/2	0.5	1/2	3	C4	60	True	Cello	1	3.0	1.5	4.0	V7	False	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
9.0	9	0.5	1/2	4	D-4	61	True	Cello	1	4.0	1.5	5.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
9.0	9	3.0	3	4	A-3	56	False	Cello	1	4.0	1.5	5.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
9.0	9	1.5	3/2	4	F3	53	True	Cello	1	4.0	1.5	5.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
9.0	9	1.5	3/2	4	D-2	37	True	Cello	1	4.0	1.5	5.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
9.0	9	3.0	3	4	A-2	44	True	Cello	2	4.0	1.5	5.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
9.5	19/2	0.5	1/2	4	E-4	63	True	Cello	1	4.0	1.5	5.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
10.0	10	0.5	1/2	4	F4	65	True	Cello	1	4.0	1.5	5.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
10.5	21/2	1.5	3/2	4	E-4	63	True	Cello	1	4.0	1.5	6.0	V7	True	('C', 'E-', 'G-', 'A-')	C	A-	1.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
10.5	21/2	1.5	3/2	4	G-3	54	True	Cello	1	4.0	1.5	6.0	V7	True	('C', 'E-', 'G-', 'A-')	C	A-	1.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
10.5	21/2	1.5	3/2	4	C2	36	True	Cello	1	4.0	1.5	6.0	V7	True	('C', 'E-', 'G-', 'A-')	C	A-	1.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
12.0	12	0.5	1/2	5	D-4	61	True	Cello	1	5.0	1.5	7.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
12.0	12	3.0	3	5	A-3	56	True	Cello	1	5.0	1.5	7.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
12.0	12	1.5	3/2	5	F3	53	True	Cello	1	5.0	1.5	7.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
12.0	12	1.5	3/2	5	D-2	37	True	Cello	1	5.0	1.5	7.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
12.0	12	3.0	3	5	A-2	44	True	Cello	2	5.0	1.5	7.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
12.5	25/2	0.5	1/2	5	C4	60	True	Cello	1	5.0	1.5	7.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
13.0	13	0.5	1/2	5	B-3	58	True	Cello	1	5.0	1.5	7.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
13.5	27/2	0.5	1/2	5	A-3	56	True	Cello	1	5.0	1.5	8.0	V7	True	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
13.5	27/2	1.5	3/2	5	G-3	54	True	Cello	1	5.0	1.5	8.0	V7	True	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
13.5	27/2	1.5	3/2	5	E-2	39	True	Cello	1	5.0	1.5	8.0	V7	True	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
14.0	14	0.5	1/2	5	B-3	58	True	Cello	1	5.0	1.5	8.0	V7	False	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
14.5	29/2	0.5	1/2	5	C4	60	True	Cello	1	5.0	1.5	8.0	V7	False	('E-', 'G-', 'A-', 'C')	E-	A-	2.0	dominant seventh chord	(0, 3, 6, 8)	D-	D-	5	None
15.0	15	0.5	1/2	6	D-4	61	True	Cello	1	6.0	1.5	9.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
15.0	15	1.5	3/2	6	A-3	56	False	Cello	1	6.0	1.5	9.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
15.0	15	1.0	1	6	F3	53	True	Cello	1	6.0	1.5	9.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
15.0	15	1.5	3/2	6	D-2	37	True	Cello	1	6.0	1.5	9.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
15.0	15	1.5	3/2	6	A-2	44	True	Cello	1	6.0	1.5	9.0	I	True	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
15.5	31/2	0.5	1/2	6	E-4	63	True	Cello	1	6.0	1.5	9.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
16.0	16	0.5	1/2	6	F4	65	True	Cello	1	6.0	1.5	9.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
16.0	16	0.5	1/2	6	D-3	49	True	Cello	1	6.0	1.5	9.0	I	False	('D-', 'F', 'A-')	D-	D-	0.0	major triad	(1, 5, 8)	D-	D-	1	None
16.5	33/2	0.5	1/2	6	F4	65	True	Cello	1	6.0	0.5	10.0	I	True	('A-', 'D-', 'F')	A-	D-	2.0	major triad	(1, 5, 8)	D-	D-	1	None
16.5	33/2	0.5	1/2	6	A-3	56	True	Cello	1	6.0	0.5	10.0	I	True	('A-', 'D-', 'F')	A-	D-	2.0	major triad	(1, 5, 8)	D-	D-	1	None
16.5	33/2	1.0	1	6	C3	48	True	Cello	1	6.0	0.5	10.0	I	True	('A-', 'D-', 'F')	A-	D-	2.0	major triad	(1, 5, 8)	D-	D-	1	None
16.5	33/2	1.0	1	6	A-2	44	True	Cello	2	6.0	0.5	10.0	I	True	('A-', 'D-', 'F')	A-	D-	2.0	major triad	(1, 5, 8)	D-	D-	1	None
17.0	17	0.5	1/2	6	E-4	63	True	Cello	1	6.0	0.5	11.0	V	True	('A-', 'C', 'E-')	A-	A-	0.0	major triad	(0, 3, 8)	D-	D-	5	None
17.0	17	0.5	1/2	6	C4	60	True	Cello	1	6.0	0.5	11.0	V	True	('A-', 'C', 'E-')	A-	A-	0.0	major triad	(0, 3, 8)	D-	D-	5	None
17.5	35/2	0.5	1/2	6	E-4	63	False	Cello	1	6.0	0.5	12.0	ii	True	('G-', 'B-', 'E-')	G-	E-	1.0	minor triad	(3, 6, 10)	D-	D-	2	None
17.5	35/2	0.5	1/2	6	B-3	58	True	Cello	1	6.0	0.5	12.0	ii	True	('G-', 'B-', 'E-')	G-	E-	1.0	minor triad	(3, 6, 10)	D-	D-	2	None
17.5	35/2	0.5	1/2	6	E-3	51	True	Cello	1	6.0	0.5	12.0	ii	True	('G-', 'B-', 'E-')	G-	E-	1.0	minor triad	(3, 6, 10)	D-	D-	2	None
17.5	35/2	0.5	1/2	6	G-2	42	True	Cello	2	6.0	0.5	12.0	ii	True	('G-', 'B-', 'E-')	G-	E-	1.0	minor triad	(3, 6, 10)	D-	D-	2	None
18.0	18	1.0	1	7	F4	65	True	Cello	1	7.0	1.5	13.0	V7/vi	True	('F', 'A', 'C', 'E-')	F	F	0.0	dominant seventh chord	(0, 3, 5, 9)	D-	b-	5	6
18.0	18	1.5	3/2	7	A3	57	True	Cello	1	7.0	1.5	13.0	V7/vi	True	('F', 'A', 'C', 'E-')	F	F	0.0	dominant seventh chord	(0, 3, 5, 9)	D-	b-	5	6
18.0	18	1.0	1	7	E-3	51	False	Cello	1	7.0	1.5	13.0	V7/vi	True	('F', 'A', 'C', 'E-')	F	F	0.0	dominant seventh chord	(0, 3, 5, 9)	D-	b-	5	6
18.0	18	1.5	3/2	7	F2	41	True	Cello	2	7.0	1.5	13.0	V7/vi	True	('F', 'A', 'C', 'E-')	F	F	0.0	dominant seventh chord	(0, 3, 5, 9)	D-	b-	5	6
19.0	19	0.5	1/2	7	F4	65	True	Cello	1	7.0	1.5	13.0	V7/vi	False	('F', 'A', 'C', 'E-')	F	F	0.0	dominant seventh chord	(0, 3, 5, 9)	D-	b-	5	6
19.0	19	0.5	1/2	7	C3	48	True	Cello	1	7.0	1.5	13.0	V7/vi	False	('F', 'A', 'C', 'E-')	F	F	0.0	dominant seventh chord	(0, 3, 5, 9)	D-	b-	5	6
19.5	39/2	0.5	1/2	7	F4	65	True	Cello	1	7.0	1.5	14.0	vi	True	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	D-	D-	6	None
19.5	39/2	1.5	3/2	7	B-3	58	True	Cello	1	7.0	1.5	14.0	vi	True	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	D-	D-	6	None
19.5	39/2	1.5	3/2	7	D-3	49	True	Cello	1	7.0	1.5	14.0	vi	True	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	D-	D-	6	None
19.5	39/2	1.5	3/2	7	B-2	46	True	Cello	2	7.0	1.5	14.0	vi	True	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	D-	D-	6	None
20.0	20	0.5	1/2	7	D-4	61	True	Cello	1	7.0	1.5	14.0	vi	False	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	D-	D-	6	None
20.5	41/2	0.5	1/2	7	B-3	58	True	Cello	1	7.0	1.5	14.0	vi	False	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	D-	D-	6	None
21.0	21	1.0	1	8	B-4	70	True	Cello	1	8.0	1.5	15.0	V/ii	True	('D', 'F', 'B-')	D	B-	1.0	major triad	(2, 5, 10)	D-	e-	5	2
21.0	21	1.0	1	8	F4	65	True	Cello	1	8.0	1.5	15.0	V/ii	True	('D', 'F', 'B-')	D	B-	1.0	major triad	(2, 5, 10)	D-	e-	5	2
21.0	21	1.0	1	8	D3	50	True	Cello	1	8.0	1.5	15.0	V/ii	True	('D', 'F', 'B-')	D	B-	1.0	major triad	(2, 5, 10)	D-	e-	5	2
21.0	21	1.5	3/2	8	D2	38	True	Cello	2	8.0	1.5	15.0	V/ii	True	('D', 'F', 'B-')	D	B-	1.0	major triad	(2, 5, 10)	D-	e-	5	2
22.0	22	0.5	1/2	8	B-4	70	True	Cello	1	8.0	1.5	15.0	V/ii	False	('D', 'F', 'B-')	D	B-	1.0	major triad	(2, 5, 10)	D-	e-	5	2
22.0	22	0.5	1/2	8	B-3	58	True	Cello	1	8.0	1.5	15.0	V/ii	False	('D', 'F', 'B-')	D	B-	1.0	major triad	(2, 5, 10)	D-	e-	5	2
22.0	22	0.5	1/2	8	F3	53	True	Cello	1	8.0	1.5	15.0	V/ii	False	('D', 'F', 'B-')	D	B-	1.0	major triad	(2, 5, 10)	D-	e-	5	2
