j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0	1.75	7/4	1	G3	55	True	P2-Staff2	1	1.0	3.0	0.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
0.0	0	1.75	7/4	1	C4	60	True	P2-Staff2	1	1.0	3.0	0.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
0.0	0	1.75	7/4	1	E-4	63	True	P2-Staff2	1	1.0	3.0	0.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
0.0	0	1.75	7/4	1	C2	36	True	P2-Staff2	1	1.0	3.0	0.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
0.0	0	1.75	7/4	1	C3	48	True	P2-Staff2	1	1.0	3.0	0.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
1.75	7/4	0.25	1/4	1	G3	55	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
1.75	7/4	0.25	1/4	1	C4	60	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
1.75	7/4	0.25	1/4	1	E-4	63	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
1.75	7/4	0.25	1/4	1	C2	36	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
1.75	7/4	0.25	1/4	1	C3	48	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
2.0	2	0.5	1/2	1	G3	55	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
2.0	2	0.5	1/2	1	C4	60	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
2.0	2	0.5	1/2	1	E-4	63	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
2.0	2	0.5	1/2	1	C2	36	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
2.0	2	0.5	1/2	1	C3	48	True	P2-Staff2	1	1.0	3.0	0.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
3.0	3	1.75	7/4	2	G3	55	True	P2-Staff2	1	2.0	3.0	1.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
3.0	3	1.75	7/4	2	C4	60	True	P2-Staff2	1	2.0	3.0	1.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
3.0	3	1.75	7/4	2	E-4	63	True	P2-Staff2	1	2.0	3.0	1.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
3.0	3	1.75	7/4	2	C2	36	True	P2-Staff2	1	2.0	3.0	1.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
3.0	3	1.75	7/4	2	C3	48	True	P2-Staff2	1	2.0	3.0	1.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
4.75	19/4	0.25	1/4	2	G3	55	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
4.75	19/4	0.25	1/4	2	C4	60	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
4.75	19/4	0.25	1/4	2	E-4	63	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
4.75	19/4	0.25	1/4	2	C2	36	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
4.75	19/4	0.25	1/4	2	C3	48	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
5.0	5	0.5	1/2	2	G3	55	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
5.0	5	0.5	1/2	2	C4	60	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
5.0	5	0.5	1/2	2	E-4	63	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
5.0	5	0.5	1/2	2	C2	36	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
5.0	5	0.5	1/2	2	C3	48	True	P2-Staff2	1	2.0	3.0	1.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
6.0	6	1.0	1	3	G3	55	True	P2-Staff2	1	3.0	1.0	2.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
6.0	6	1.0	1	3	C4	60	True	P2-Staff2	1	3.0	1.0	2.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
6.0	6	1.0	1	3	E-4	63	True	P2-Staff2	1	3.0	1.0	2.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
6.0	6	1.0	1	3	C2	36	True	P2-Staff2	1	3.0	1.0	2.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
6.0	6	1.0	1	3	C3	48	True	P2-Staff2	1	3.0	1.0	2.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
7.0	7	1.0	1	3	G3	55	True	P2-Staff2	1	3.0	1.0	3.0	i	True	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
7.0	7	1.0	1	3	C4	60	True	P2-Staff2	1	3.0	1.0	3.0	i	True	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
7.0	7	1.0	1	3	E-4	63	True	P2-Staff2	1	3.0	1.0	3.0	i	True	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
7.0	7	1.0	1	3	E-2	39	True	P2-Staff2	1	3.0	1.0	3.0	i	True	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
7.0	7	1.0	1	3	E-3	51	True	P2-Staff2	1	3.0	1.0	3.0	i	True	('E-', 'G', 'C')	E-	C	1.0	minor triad	(0, 3, 7)	c	c	1	None
8.0	8	1.0	1	3	G3	55	True	P2-Staff2	1	3.0	1.0	4.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
8.0	8	1.0	1	3	C4	60	True	P2-Staff2	1	3.0	1.0	4.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
8.0	8	1.0	1	3	E-4	63	True	P2-Staff2	1	3.0	1.0	4.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
8.0	8	1.0	1	3	C2	36	True	P2-Staff2	1	3.0	1.0	4.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
8.0	8	1.0	1	3	C3	48	True	P2-Staff2	1	3.0	1.0	4.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
9.0	9	1.75	7/4	4	A-3	56	True	P2-Staff2	1	4.0	3.0	5.0	viio7	True	('F', 'A-', 'B', 'D')	F	B	2.0	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None
