	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0	18	0.0	0	0.75	3/4	1	D3	50	True	Cello	1	1.0	2.0	0.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
1	24	18	1.0	1	0.75	3/4	1	C#3	49	True	Cello	1	1.0	2.0	0.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
2	48	18	2.0	2	0.75	3/4	2	B2	47	True	Cello	1	2.0	2.0	1.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
3	72	18	3.0	3	0.75	3/4	2	A2	45	True	Cello	1	2.0	2.0	1.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
4	96	18	4.0	4	0.75	3/4	3	G2	43	True	Cello	1	3.0	2.0	2.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
5	120	12	5.0	5	0.5	1/2	3	F#2	42	True	Cello	1	3.0	2.0	2.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
6	132	12	5.5	11/2	0.5	1/2	3	G#2	44	True	Cello	1	3.0	2.0	2.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
7	144	48	6.0	6	2.0	2	4	A2	45	True	Cello	1	4.0	2.0	3.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
8	192	24	8.0	8	1.0	1	5	D4	62	True	Cello	1	5.0	1.0	4.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
9	192	12	8.0	8	0.5	1/2	5	D4	62	True	Cello	1	5.0	1.0	4.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
10	204	12	8.5	17/2	0.5	1/2	5	A3	57	True	Cello	1	5.0	1.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
