onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	2	0.0	0	1.0	1	0	3	4	0	0.0	C#5	73	True	C	1	0	1.0	1	Violoncello	1	0	1.0	0	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
2	6	1.0	1	3.0	3	1	3	4	1	1.0	E5	76	True	E	0	0	1.0	1	Violoncello	1	1	3.0	1	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
4	2	2.0	2	1.0	1	1	3	4	1	2.0	C#5	73	True	C	1	1/4	2.0	2	Violoncello	1	1	3.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
6	2	3.0	3	1.0	1	1	3	4	1	3.0	A4	69	True	A	0	1/2	3.0	3	Violoncello	1	1	3.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
8	6	4.0	4	3.0	3	2	3	4	2	4.0	B4	71	True	B	0	0	1.0	1	Violoncello	1	2	3.0	2	V	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	A	A	5	None	V	True
10	2	5.0	5	1.0	1	2	3	4	2	5.0	G#4	68	True	G	1	1/4	2.0	2	Violoncello	1	2	3.0	2	V	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	A	A	5	None	V	True
12	2	6.0	6	1.0	1	2	3	4	2	6.0	E4	64	True	E	0	1/2	3.0	3	Violoncello	1	2	3.0	2	V	False	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	A	A	5	None	V	True
14	1	7.0	7	0.5	1/2	3	3	4	3	7.0	D5	74	True	D	0	0	1.0	1	Violoncello	1	3	3.0	3	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
15	1	7.5	15/2	0.5	1/2	3	3	4	3	7.5	C#5	73	True	C	1	1/8	1.5	0	Violoncello	1	3	3.0	3	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
16	2	8.0	8	1.0	1	3	3	4	3	8.0	C#4	61	True	C	1	1/4	2.0	2	Violoncello	1	3	3.0	3	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
16	1	8.0	8	0.5	1/2	3	3	4	3	8.0	B4	71	True	B	0	1/4	2.0	2	Violoncello	1	3	3.0	3	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
17	1	8.5	17/2	0.5	1/2	3	3	4	3	8.5	A4	69	True	A	0	3/8	2.5	0	Violoncello	1	3	3.0	3	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
18	1	9.0	9	0.5	1/2	3	3	4	3	9.0	G#4	68	True	G	1	1/2	3.0	3	Violoncello	1	3	3.0	3	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
18	2	9.0	9	1.0	1	3	3	4	3	9.0	A3	57	True	A	0	1/2	3.0	3	Violoncello	1	3	3.0	3	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
19	1	9.5	19/2	0.5	1/2	3	3	4	3	9.5	A4	69	True	A	0	5/8	3.5	0	Violoncello	1	3	3.0	3	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
