onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	12	0.0	0	3.0	3	1	2	2	1	0.0	B-3	58	True	B	-1	0	1.0	1	P2-Staff2	1	1	4.0	0	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
0	12	0.0	0	3.0	3	1	2	2	1	0.0	B-2	46	True	B	-1	0	1.0	1	P2-Staff2	1	1	4.0	0	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
16	12	4.0	4	3.0	3	2	2	2	2	2.0	B-3	58	True	B	-1	0	1.0	1	P2-Staff2	1	2	4.0	1	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
16	12	4.0	4	3.0	3	2	2	2	2	2.0	B-2	46	True	B	-1	0	1.0	1	P2-Staff2	1	2	4.0	1	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
28	4	7.0	7	1.0	1	2	2	2	2	3.5	B-4	70	True	B	-1	3/4	2.5	0	P2-Staff2	1	2	4.0	1	i	False	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
32	6	8.0	8	1.5	3/2	3	2	2	3	4.0	B-4	70	True	B	-1	0	1.0	1	P2-Staff2	1	3	2.0	2	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
32	6	8.0	8	1.5	3/2	3	2	2	3	4.0	B-3	58	True	B	-1	0	1.0	1	P2-Staff2	1	3	2.0	2	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
32	6	8.0	8	1.5	3/2	3	2	2	3	4.0	B-2	46	True	B	-1	0	1.0	1	P2-Staff2	1	3	2.0	2	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
38	2	9.5	19/2	0.5	1/2	3	2	2	3	4.75	D-5	73	True	D	-1	3/8	1.75	0	P2-Staff2	1	3	2.0	2	i	False	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
38	2	9.5	19/2	0.5	1/2	3	2	2	3	4.75	D-4	61	True	D	-1	3/8	1.75	0	P2-Staff2	1	3	2.0	2	i	False	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
38	2	9.5	19/2	0.5	1/2	3	2	2	3	4.75	D-3	49	True	D	-1	3/8	1.75	0	P2-Staff2	1	3	2.0	2	i	False	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	b-	b-	1	None
