onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	2	0.0	0	0.5	1/2	1	1	2	2	1	0.0	G2	43	True	G	0	0	1.0	1	P2-Staff2	1	1	2.0	0	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
2	4	0.5	1/2	1.0	1	1	1	2	2	1	0.25	D4	62	True	D	0	1/8	1.25	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
2	4	0.5	1/2	1.0	1	1	1	2	2	1	0.25	G4	67	True	G	0	1/8	1.25	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
2	4	0.5	1/2	1.0	1	1	1	2	2	1	0.25	B4	71	True	B	0	1/8	1.25	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
2	2	0.5	1/2	0.5	1/2	1	1	2	2	1	0.25	B3	59	True	B	0	1/8	1.25	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
4	2	1.0	1	0.5	1/2	1	1	2	2	1	0.5	D3	50	True	D	0	1/4	1.5	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
4	2	1.0	1	0.5	1/2	1	1	2	2	1	0.5	G3	55	True	G	0	1/4	1.5	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
6	2	1.5	3/2	0.5	1/2	1	1	2	2	1	0.75	D4	62	True	D	0	3/8	1.75	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
6	2	1.5	3/2	0.5	1/2	1	1	2	2	1	0.75	G4	67	True	G	0	3/8	1.75	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
6	2	1.5	3/2	0.5	1/2	1	1	2	2	1	0.75	B4	71	True	B	0	3/8	1.75	0	P2-Staff2	1	1	2.0	0	I	False	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	1	None	I	True
