onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral
0	1	0.0	0	0.25	1/4	0	3	8	0	0.0	G4	67	True	G	0	0	1.0	1	P2-Staff2	1	0	0.5	0	V9	True	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
1	1	0.25	1/4	0.25	1/4	0	3	8	0	0.5	A4	69	True	A	0	1/16	1.5	0	P2-Staff2	1	0	0.5	0	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
2	1	0.5	1/2	0.25	1/4	1	3	8	1	1.0	B-4	70	True	B	-1	0	1.0	1	P2-Staff2	1	1	1.5	1	V9	True	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
2	2	0.5	1/2	0.5	1/2	1	3	8	1	1.0	A2	45	True	A	0	0	1.0	1	P2-Staff2	1	1	1.5	1	V9	True	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
3	1	0.75	3/4	0.25	1/4	1	3	8	1	1.5	A4	69	True	A	0	1/16	1.5	0	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
4	1	1.0	1	0.25	1/4	1	3	8	1	2.0	G4	67	True	G	0	1/8	2.0	2	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
4	1	1.0	1	0.25	1/4	1	3	8	1	2.0	G3	55	True	G	0	1/8	2.0	2	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
4	1	1.0	1	0.25	1/4	1	3	8	1	2.0	B-3	58	True	B	-1	1/8	2.0	2	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
4	1	1.0	1	0.25	1/4	1	3	8	1	2.0	C#4	61	True	C	1	1/8	2.0	2	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
4	1	1.0	1	0.25	1/4	1	3	8	1	2.0	E4	64	True	E	0	1/8	2.0	2	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
5	1	1.25	5/4	0.25	1/4	1	3	8	1	2.5	E5	76	True	E	0	3/16	2.5	0	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
5	1	1.25	5/4	0.25	1/4	1	3	8	1	2.5	G3	55	True	G	0	3/16	2.5	0	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
5	1	1.25	5/4	0.25	1/4	1	3	8	1	2.5	B-3	58	True	B	-1	3/16	2.5	0	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
5	1	1.25	5/4	0.25	1/4	1	3	8	1	2.5	C#4	61	True	C	1	3/16	2.5	0	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
5	1	1.25	5/4	0.25	1/4	1	3	8	1	2.5	E4	64	True	E	0	3/16	2.5	0	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
6	1	1.5	3/2	0.25	1/4	1	3	8	1	3.0	D5	74	True	D	0	1/4	3.0	3	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
6	2	1.5	3/2	0.5	1/2	1	3	8	1	3.0	G3	55	True	G	0	1/4	3.0	3	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
6	2	1.5	3/2	0.5	1/2	1	3	8	1	3.0	B-3	58	True	B	-1	1/4	3.0	3	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
6	2	1.5	3/2	0.5	1/2	1	3	8	1	3.0	C#4	61	True	C	1	1/4	3.0	3	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
6	2	1.5	3/2	0.5	1/2	1	3	8	1	3.0	E4	64	True	E	0	1/4	3.0	3	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
7	1	1.75	7/4	0.25	1/4	1	3	8	1	3.5	C#5	73	True	C	1	5/16	3.5	0	P2-Staff2	1	1	1.5	1	V9	False	('A', 'C#', 'E', 'G', 'B-')	A	A	0	flat-ninth pentachord	(1, 4, 7, 9, 10)	d	d	5	None	V9
8	1	2.0	2	0.25	1/4	2	3	8	2	4.0	D5	74	True	D	0	0	1.0	1	P2-Staff2	1	2	1.5	2	i	True	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
8	2	2.0	2	0.5	1/2	2	3	8	2	4.0	A2	45	True	A	0	0	1.0	1	P2-Staff2	1	2	1.5	2	i	True	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
9	1	2.25	9/4	0.25	1/4	2	3	8	2	4.5	A5	81	True	A	0	1/16	1.5	0	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
10	1	2.5	5/2	0.25	1/4	2	3	8	2	5.0	G5	79	True	G	0	1/8	2.0	2	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
10	1	2.5	5/2	0.25	1/4	2	3	8	2	5.0	A3	57	True	A	0	1/8	2.0	2	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
10	1	2.5	5/2	0.25	1/4	2	3	8	2	5.0	D4	62	True	D	0	1/8	2.0	2	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
10	1	2.5	5/2	0.25	1/4	2	3	8	2	5.0	F4	65	True	F	0	1/8	2.0	2	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
11	1	2.75	11/4	0.25	1/4	2	3	8	2	5.5	F5	77	True	F	0	3/16	2.5	0	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
11	1	2.75	11/4	0.25	1/4	2	3	8	2	5.5	A3	57	True	A	0	3/16	2.5	0	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
11	1	2.75	11/4	0.25	1/4	2	3	8	2	5.5	D4	62	True	D	0	3/16	2.5	0	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
11	1	2.75	11/4	0.25	1/4	2	3	8	2	5.5	F4	65	True	F	0	3/16	2.5	0	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
12	1	3.0	3	0.25	1/4	2	3	8	2	6.0	E5	76	True	E	0	1/4	3.0	3	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
12	2	3.0	3	0.5	1/2	2	3	8	2	6.0	A3	57	True	A	0	1/4	3.0	3	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
12	2	3.0	3	0.5	1/2	2	3	8	2	6.0	D4	62	True	D	0	1/4	3.0	3	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
12	2	3.0	3	0.5	1/2	2	3	8	2	6.0	F4	65	True	F	0	1/4	3.0	3	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
13	1	3.25	13/4	0.25	1/4	2	3	8	2	6.5	F5	77	True	F	0	5/16	3.5	0	P2-Staff2	1	2	1.5	2	i	False	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	1	None	i
14	1	3.5	7/2	0.25	1/4	3	3	8	3	7.0	E5	76	True	E	0	0	1.0	1	P2-Staff2	1	3	1.5	3	viio7/v	True	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
14	2	3.5	7/2	0.5	1/2	3	3	8	3	7.0	A2	45	True	A	0	0	1.0	1	P2-Staff2	1	3	1.5	3	viio7/v	True	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
15	1	3.75	15/4	0.25	1/4	3	3	8	3	7.5	D5	74	True	D	0	1/16	1.5	0	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
16	1	4.0	4	0.25	1/4	3	3	8	3	8.0	C#5	73	True	C	1	1/8	2.0	2	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
16	1	4.0	4	0.25	1/4	3	3	8	3	8.0	G#3	56	True	G	1	1/8	2.0	2	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
16	1	4.0	4	0.25	1/4	3	3	8	3	8.0	B3	59	True	B	0	1/8	2.0	2	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
16	1	4.0	4	0.25	1/4	3	3	8	3	8.0	F4	65	True	F	0	1/8	2.0	2	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
17	1	4.25	17/4	0.25	1/4	3	3	8	3	8.5	D5	74	True	D	0	3/16	2.5	0	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
17	1	4.25	17/4	0.25	1/4	3	3	8	3	8.5	G#3	56	True	G	1	3/16	2.5	0	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
17	1	4.25	17/4	0.25	1/4	3	3	8	3	8.5	B3	59	True	B	0	3/16	2.5	0	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
17	1	4.25	17/4	0.25	1/4	3	3	8	3	8.5	F4	65	True	F	0	3/16	2.5	0	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
18	1	4.5	9/2	0.25	1/4	3	3	8	3	9.0	E5	76	True	E	0	1/4	3.0	3	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
18	2	4.5	9/2	0.5	1/2	3	3	8	3	9.0	G#3	56	True	G	1	1/4	3.0	3	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
18	2	4.5	9/2	0.5	1/2	3	3	8	3	9.0	B3	59	True	B	0	1/4	3.0	3	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
18	2	4.5	9/2	0.5	1/2	3	3	8	3	9.0	F4	65	True	F	0	1/4	3.0	3	P2-Staff2	1	3	1.5	3	viio7/v	False	('G#', 'B', 'D', 'F')	G#	G#	0	diminished seventh chord	(2, 5, 8, 11)	d	a	#7	5	viio7
