onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	2	0.0	0	0.5	1/2	1	4	4	1	0.0	A3	57	True	A	0	0	1.0	1	P1-Staff2	6	1	1.0	0	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
0	16	0.0	0	4.0	4	1	4	4	1	0.0	F#3	54	True	F	1	0	1.0	1	P1-Staff2	6	1	1.0	0	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
2	2	0.5	1/2	0.5	1/2	1	4	4	1	0.5	C#5	73	True	C	1	1/8	1.5	0	P1-Staff2	6	1	1.0	0	i	False	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
4	1	1.0	1	0.25	1/4	1	4	4	1	1.0	D5	74	True	D	0	1/4	2.0	2	P1-Staff2	6	1	1.0	1	iv	True	('F#', 'B', 'D')	F#	B	2	minor triad	(2, 6, 11)	f#	f#	4	None	iv	True
4	2	1.0	1	0.5	1/2	1	4	4	1	1.0	B3	59	True	B	0	1/4	2.0	2	P1-Staff2	6	1	1.0	1	iv	True	('F#', 'B', 'D')	F#	B	2	minor triad	(2, 6, 11)	f#	f#	4	None	iv	True
5	1	1.25	5/4	0.25	1/4	1	4	4	1	1.25	C#5	73	True	C	1	5/16	2.25	0	P1-Staff2	6	1	1.0	1	iv	False	('F#', 'B', 'D')	F#	B	2	minor triad	(2, 6, 11)	f#	f#	4	None	iv	True
6	1	1.5	3/2	0.25	1/4	1	4	4	1	1.5	B4	71	True	B	0	3/8	2.5	0	P1-Staff2	6	1	1.0	1	iv	False	('F#', 'B', 'D')	F#	B	2	minor triad	(2, 6, 11)	f#	f#	4	None	iv	True
7	1	1.75	7/4	0.25	1/4	1	4	4	1	1.75	D5	74	True	D	0	7/16	2.75	0	P1-Staff2	6	1	1.0	1	iv	False	('F#', 'B', 'D')	F#	B	2	minor triad	(2, 6, 11)	f#	f#	4	None	iv	True
8	1	2.0	2	0.25	1/4	1	4	4	1	2.0	C#5	73	True	C	1	1/2	3.0	3	P1-Staff2	6	1	1.0	2	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
8	2	2.0	2	0.5	1/2	1	4	4	1	2.0	A3	57	True	A	0	1/2	3.0	3	P1-Staff2	6	1	1.0	2	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
9	1	2.25	9/4	0.25	1/4	1	4	4	1	2.25	B4	71	True	B	0	9/16	3.25	0	P1-Staff2	6	1	1.0	2	i	False	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
10	1	2.5	5/2	0.25	1/4	1	4	4	1	2.5	A4	69	True	A	0	5/8	3.5	0	P1-Staff2	6	1	1.0	2	i	False	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
11	1	2.75	11/4	0.25	1/4	1	4	4	1	2.75	C#5	73	True	C	1	11/16	3.75	0	P1-Staff2	6	1	1.0	2	i	False	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	f#	f#	1	None	i	True
12	1	3.0	3	0.25	1/4	1	4	4	1	3.0	B4	71	True	B	0	3/4	4.0	4	P1-Staff2	6	1	1.0	3	iiø7	True	('F#', 'G#', 'B', 'D')	F#	G#	3	half-diminished seventh chord	(2, 6, 8, 11)	f#	f#	2	None	ii%7	True
12	2	3.0	3	0.5	1/2	1	4	4	1	3.0	G#3	56	True	G	1	3/4	4.0	4	P1-Staff2	6	1	1.0	3	iiø7	True	('F#', 'G#', 'B', 'D')	F#	G#	3	half-diminished seventh chord	(2, 6, 8, 11)	f#	f#	2	None	ii%7	True
