onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	1	0.0	0	0.5	1/2	1	3	4	1	0.0	G3	55	True	G	0	0	1.0	1	P2-Staff2	5	1	3.0	0	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
0	6	0.0	0	3.0	3	1	3	4	1	0.0	G2	43	True	G	0	0	1.0	1	P2-Staff2	5	1	3.0	0	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
1	1	0.5	1/2	0.5	1/2	1	3	4	1	0.5	B-3	58	True	B	-1	1/8	1.5	0	P2-Staff2	5	1	3.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
2	1	1.0	1	0.5	1/2	1	3	4	1	1.0	D4	62	True	D	0	1/4	2.0	2	P2-Staff2	5	1	3.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
3	1	1.5	3/2	0.5	1/2	1	3	4	1	1.5	G4	67	True	G	0	3/8	2.5	0	P2-Staff2	5	1	3.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
4	1	2.0	2	0.5	1/2	1	3	4	1	2.0	B-3	58	True	B	-1	1/2	3.0	3	P2-Staff2	5	1	3.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
5	1	2.5	5/2	0.5	1/2	1	3	4	1	2.5	D4	62	True	D	0	5/8	3.5	0	P2-Staff2	5	1	3.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
6	2	3.0	3	1.0	1	2	3	4	2	3.0	D5	74	True	D	0	0	1.0	1	P2-Staff2	5	2	3.0	1	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
6	1	3.0	3	0.5	1/2	2	3	4	2	3.0	B-3	58	True	B	-1	0	1.0	1	P2-Staff2	5	2	3.0	1	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
6	6	3.0	3	3.0	3	2	3	4	2	3.0	G2	43	False	G	0	0	1.0	1	P2-Staff2	5	2	3.0	1	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i	True
