onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral
0	16	0.0	0	4.0	4	1	4	4	1	0.0	G2	43	True	G	0	0	1.0	1	Basso	1	1	4.0	0	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i
4	4	1.0	1	1.0	1	1	4	4	1	1.0	D4	62	True	D	0	1/4	2.0	2	Basso	1	1	4.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i
4	4	1.0	1	1.0	1	1	4	4	1	1.0	B-3	58	True	B	-1	1/4	2.0	2	Basso	1	1	4.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i
8	8	2.0	2	2.0	2	1	4	4	1	2.0	B-3	58	True	B	-1	1/2	3.0	3	Basso	1	1	4.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i
8	8	2.0	2	2.0	2	1	4	4	1	2.0	G3	55	True	G	0	1/2	3.0	3	Basso	1	1	4.0	0	i	False	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i
16	8	4.0	4	2.0	2	2	4	4	2	4.0	G2	43	True	G	0	0	1.0	1	Basso	1	2	1.0	1	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	1	None	i
20	4	5.0	5	1.0	1	2	4	4	2	5.0	C5	72	True	C	0	1/4	2.0	2	Basso	1	2	3.0	2	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	5	None	V
20	4	5.0	5	1.0	1	2	4	4	2	5.0	A4	69	True	A	0	1/4	2.0	2	Basso	1	2	3.0	2	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	5	None	V
24	8	6.0	6	2.0	2	2	4	4	2	6.0	F#4	66	True	F	1	1/2	3.0	3	Basso	1	2	3.0	2	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	5	None	V
24	8	6.0	6	2.0	2	2	4	4	2	6.0	D3	50	True	D	0	1/2	3.0	3	Basso	1	2	3.0	2	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	5	None	V
24	8	6.0	6	2.0	2	2	4	4	2	6.0	A4	69	True	A	0	1/2	3.0	3	Basso	1	2	3.0	2	V	False	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	5	None	V
32	16	8.0	8	4.0	4	3	4	4	3	8.0	B-2	46	True	B	-1	0	1.0	1	Basso	1	3	4.0	3	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
36	4	9.0	9	1.0	1	3	4	4	3	9.0	F4	65	True	F	0	1/4	2.0	2	Basso	1	3	4.0	3	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
36	4	9.0	9	1.0	1	3	4	4	3	9.0	D4	62	True	D	0	1/4	2.0	2	Basso	1	3	4.0	3	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
40	8	10.0	10	2.0	2	3	4	4	3	10.0	D4	62	True	D	0	1/2	3.0	3	Basso	1	3	4.0	3	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
40	8	10.0	10	2.0	2	3	4	4	3	10.0	B-3	58	True	B	-1	1/2	3.0	3	Basso	1	3	4.0	3	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
48	8	12.0	12	2.0	2	4	4	4	4	12.0	B-2	46	True	B	-1	0	1.0	1	Basso	1	4	1.0	4	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
52	4	13.0	13	1.0	1	4	4	4	4	13.0	E5	76	True	E	0	1/4	2.0	2	Basso	1	4	3.0	5	V	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
52	4	13.0	13	1.0	1	4	4	4	4	13.0	C5	72	True	C	0	1/4	2.0	2	Basso	1	4	3.0	5	V	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
56	8	14.0	14	2.0	2	4	4	4	4	14.0	A4	69	True	A	0	1/2	3.0	3	Basso	1	4	3.0	5	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
56	8	14.0	14	2.0	2	4	4	4	4	14.0	C5	72	True	C	0	1/2	3.0	3	Basso	1	4	3.0	5	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
56	8	14.0	14	2.0	2	4	4	4	4	14.0	F3	53	True	F	0	1/2	3.0	3	Basso	1	4	3.0	5	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
		16.0																			5	4.0	6	V	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
66	2	16.5	33/2	0.5	1/2	5	4	4	5	16.5	A4	69	True	A	0	1/8	1.5	0	Basso	1	5	4.0	6	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
66	2	16.5	33/2	0.5	1/2	5	4	4	5	16.5	C5	72	True	C	0	1/8	1.5	0	Basso	1	5	4.0	6	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
66	2	16.5	33/2	0.5	1/2	5	4	4	5	16.5	F3	53	True	F	0	1/8	1.5	0	Basso	1	5	4.0	6	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
68	2	17.0	17	0.5	1/2	5	4	4	5	17.0	F3	53	True	F	0	1/4	2.0	2	Basso	1	5	4.0	6	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
68	2	17.0	17	0.5	1/2	5	4	4	5	17.0	C5	72	True	C	0	1/4	2.0	2	Basso	1	5	4.0	6	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
68	2	17.0	17	0.5	1/2	5	4	4	5	17.0	A4	69	True	A	0	1/4	2.0	2	Basso	1	5	4.0	6	V	False	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	B-	5	None	V
