onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	4	0.0	0	1.0	1	0	-3	4	4	0	0.0	G3	55	True	G	0	0	1.0	1	Violoncello	1	0	1.0	0	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
4	8	1.0	1	2.0	2	1	-3	4	4	1	1.0	C4	60	True	C	0	0	1.0	1	Violoncello	1	1	3.0	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
4	12	1.0	1	3.0	3	1	-3	4	4	1	1.0	G3	55	True	G	0	0	1.0	1	Violoncello	1	1	3.0	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
4	12	1.0	1	3.0	3	1	-3	4	4	1	1.0	E-3	51	True	E	-1	0	1.0	1	Violoncello	1	1	3.0	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
4	2	1.0	1	0.5	1/2	1	-3	4	4	1	1.0	C2	36	True	C	0	0	1.0	1	Violoncello	1	1	3.0	1	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
6	2	1.5	3/2	0.5	1/2	1	-3	4	4	1	1.5	C3	48	True	C	0	1/8	1.5	0	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
8	2	2.0	2	0.5	1/2	1	-3	4	4	1	2.0	C3	48	True	C	0	1/4	2.0	2	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
10	2	2.5	5/2	0.5	1/2	1	-3	4	4	1	2.5	C3	48	True	C	0	3/8	2.5	0	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
12	2	3.0	3	0.5	1/2	1	-3	4	4	1	3.0	C4	60	False	C	0	1/2	3.0	3	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
12	2	3.0	3	0.5	1/2	1	-3	4	4	1	3.0	C3	48	True	C	0	1/2	3.0	3	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
14	0	3.5	7/2	0.0	0	1	-3	4	4	1	3.5	D4	62	True	D	0	5/8	3.5	0	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
14	0	3.5	7/2	0.0	0	1	-3	4	4	1	3.5	C4	60	True	C	0	5/8	3.5	0	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
14	0	3.5	7/2	0.0	0	1	-3	4	4	1	3.5	B3	59	True	B	0	5/8	3.5	0	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
14	2	3.5	7/2	0.5	1/2	1	-3	4	4	1	3.5	C4	60	True	C	0	5/8	3.5	0	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
14	2	3.5	7/2	0.5	1/2	1	-3	4	4	1	3.5	C3	48	True	C	0	5/8	3.5	0	Violoncello	1	1	3.0	1	i	False	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None	i	True
16	2	4.0	4	0.5	1/2	1	-3	4	4	1	4.0	E-4	63	True	E	-1	3/4	4.0	4	Violoncello	1	1	0.5	2	viio	True	('F', 'B', 'D')	F	B	2	diminished triad	(2, 5, 11)	c	c	#7	None	viio	True
16	4	4.0	4	1.0	1	1	-3	4	4	1	4.0	B3	59	True	B	0	3/4	4.0	4	Violoncello	1	1	0.5	2	viio	True	('F', 'B', 'D')	F	B	2	diminished triad	(2, 5, 11)	c	c	#7	None	viio	True
16	4	4.0	4	1.0	1	1	-3	4	4	1	4.0	F3	53	True	F	0	3/4	4.0	4	Violoncello	1	1	0.5	2	viio	True	('F', 'B', 'D')	F	B	2	diminished triad	(2, 5, 11)	c	c	#7	None	viio	True
16	2	4.0	4	0.5	1/2	1	-3	4	4	1	4.0	C3	48	True	C	0	3/4	4.0	4	Violoncello	1	1	0.5	2	viio	True	('F', 'B', 'D')	F	B	2	diminished triad	(2, 5, 11)	c	c	#7	None	viio	True
18	2	4.5	9/2	0.5	1/2	1	-3	4	4	1	4.5	D4	62	True	D	0	7/8	4.5	0	Violoncello	1	1	0.5	3	viio	True	('F', 'B', 'D')	F	B	2	diminished triad	(2, 5, 11)	c	c	#7	None	viio	True
18	2	4.5	9/2	0.5	1/2	1	-3	4	4	1	4.5	C3	48	True	C	0	7/8	4.5	0	Violoncello	1	1	0.5	3	viio	True	('F', 'B', 'D')	F	B	2	diminished triad	(2, 5, 11)	c	c	#7	None	viio	True
20	8	5.0	5	2.0	2	2	-3	4	4	2	5.0	D4	62	True	D	0	0	1.0	1	Violoncello	1	2	2.0	4	viio7	True	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
20	8	5.0	5	2.0	2	2	-3	4	4	2	5.0	B3	59	True	B	0	0	1.0	1	Violoncello	1	2	2.0	4	viio7	True	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
20	6	5.0	5	1.5	3/2	2	-3	4	4	2	5.0	A-3	56	True	A	-1	0	1.0	1	Violoncello	1	2	2.0	4	viio7	True	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
20	2	5.0	5	0.5	1/2	2	-3	4	4	2	5.0	C3	48	True	C	0	0	1.0	1	Violoncello	1	2	2.0	4	viio7	True	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
22	2	5.5	11/2	0.5	1/2	2	-3	4	4	2	5.5	C3	48	True	C	0	1/8	1.5	0	Violoncello	1	2	2.0	4	viio7	False	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
24	2	6.0	6	0.5	1/2	2	-3	4	4	2	6.0	C3	48	True	C	0	1/4	2.0	2	Violoncello	1	2	2.0	4	viio7	False	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
26	2	6.5	13/2	0.5	1/2	2	-3	4	4	2	6.5	F3	53	True	F	0	3/8	2.5	0	Violoncello	1	2	2.0	4	viio7	False	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
26	2	6.5	13/2	0.5	1/2	2	-3	4	4	2	6.5	C3	48	True	C	0	3/8	2.5	0	Violoncello	1	2	2.0	4	viio7	False	('A-', 'B', 'D', 'F')	A-	B	3	diminished seventh chord	(2, 5, 8, 11)	c	c	#7	None	viio7	True
28	4	7.0	7	1.0	1	2	-3	4	4	2	7.0	C4	60	True	C	0	1/2	3.0	3	Violoncello	1	2	2.0	5	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
28	4	7.0	7	1.0	1	2	-3	4	4	2	7.0	G3	55	True	G	0	1/2	3.0	3	Violoncello	1	2	2.0	5	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
28	4	7.0	7	1.0	1	2	-3	4	4	2	7.0	E-3	51	True	E	-1	1/2	3.0	3	Violoncello	1	2	2.0	5	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
28	2	7.0	7	0.5	1/2	2	-3	4	4	2	7.0	C3	48	True	C	0	1/2	3.0	3	Violoncello	1	2	2.0	5	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
30	2	7.5	15/2	0.5	1/2	2	-3	4	4	2	7.5	C3	48	True	C	0	5/8	3.5	0	Violoncello	1	2	2.0	5	i	False	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
32	4	8.0	8	1.0	1	2	-3	4	4	2	8.0	C4	60	True	C	0	3/4	4.0	4	Violoncello	1	2	2.0	5	i	False	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
32	2	8.0	8	0.5	1/2	2	-3	4	4	2	8.0	C3	48	True	C	0	3/4	4.0	4	Violoncello	1	2	2.0	5	i	False	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
34	2	8.5	17/2	0.5	1/2	2	-3	4	4	2	8.5	C3	48	True	C	0	7/8	4.5	0	Violoncello	1	2	2.0	5	i	False	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None	i	True
36	8	9.0	9	2.0	2	3	-3	4	4	3	9.0	F4	65	True	F	0	0	1.0	1	Violoncello	1	3	3.0	6	iv	True	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
36	12	9.0	9	3.0	3	3	-3	4	4	3	9.0	C4	60	True	C	0	0	1.0	1	Violoncello	1	3	3.0	6	iv	True	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
36	12	9.0	9	3.0	3	3	-3	4	4	3	9.0	A-3	56	True	A	-1	0	1.0	1	Violoncello	1	3	3.0	6	iv	True	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
36	2	9.0	9	0.5	1/2	3	-3	4	4	3	9.0	C2	36	True	C	0	0	1.0	1	Violoncello	1	3	3.0	6	iv	True	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
38	2	9.5	19/2	0.5	1/2	3	-3	4	4	3	9.5	C3	48	True	C	0	1/8	1.5	0	Violoncello	1	3	3.0	6	iv	False	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
40	2	10.0	10	0.5	1/2	3	-3	4	4	3	10.0	C3	48	True	C	0	1/4	2.0	2	Violoncello	1	3	3.0	6	iv	False	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
42	2	10.5	21/2	0.5	1/2	3	-3	4	4	3	10.5	C3	48	True	C	0	3/8	2.5	0	Violoncello	1	3	3.0	6	iv	False	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
44	2	11.0	11	0.5	1/2	3	-3	4	4	3	11.0	F4	65	False	F	0	1/2	3.0	3	Violoncello	1	3	3.0	6	iv	False	('A-', 'C', 'F')	A-	F	1	minor triad	(0, 5, 8)	c	c	4	None	iv	True
