onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	1	0.0	0	0.5	1/2	1	4	6	4	1	0.0	G#4	68	True	G	1	0	1.0	1	P1-Staff2	6	1	5.0	0	i	True	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
0	12	0.0	0	6.0	6	1	4	6	4	1	0.0	C#3	49	True	C	1	0	1.0	1	P1-Staff2	6	1	5.0	0	i	True	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
1	1	0.5	1/2	0.5	1/2	1	4	6	4	1	0.16700000000000004	F#4	66	True	F	1	1/8	1.167	0	P1-Staff2	6	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
2	1	1.0	1	0.5	1/2	1	4	6	4	1	0.33299999999999996	E4	64	True	E	0	1/4	1.333	0	P1-Staff2	6	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
3	1	1.5	3/2	0.5	1/2	1	4	6	4	1	0.5	D#4	63	True	D	1	3/8	1.5	0	P1-Staff2	6	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
4	1	2.0	2	0.5	1/2	1	4	6	4	1	0.667	E4	64	True	E	0	1/2	1.667	0	P1-Staff2	6	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
5	1	2.5	5/2	0.5	1/2	1	4	6	4	1	0.833	C#4	61	True	C	1	5/8	1.833	0	P1-Staff2	6	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
6	3	3.0	3	1.5	3/2	1	4	6	4	1	1.0	C#5	73	True	C	1	3/4	2.0	2	P1-Staff2	6	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
6	4	3.0	3	2.0	2	1	4	6	4	1	1.0	E4	64	True	E	0	3/4	2.0	2	P1-Staff2	1	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
6	4	3.0	3	2.0	2	1	4	6	4	1	1.0	G#4	68	True	G	1	3/4	2.0	2	P1-Staff2	1	1	5.0	0	i	False	('C#', 'E', 'G#')	C#	C#	0	minor triad	(1, 4, 8)	c#	c#	1	None	i	True
