	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0.0	48.0	0.0	0	4.0	4	1.0	A4	69.0	True	Violoncello	1	1.0	4.0	0.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
1	48.0	48.0	4.0	4	4.0	4	2.0	G5	79.0	True	Violoncello	1	2.0	4.0	1.0	V7	True	('A', 'C#', 'E', 'G')	A	A	0.0	dominant seventh chord	(1, 4, 7, 9)	D	D	5	None
2	96.0	6.0	8.0	8	0.5	1/2	3.0	G5	79.0	False	Violoncello	1	3.0	4.0	2.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
3	96.0	48.0	8.0	8	4.0	4	3.0	F#4	66.0	True	Violoncello	1	3.0	4.0	2.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
4	96.0	48.0	8.0	8	4.0	4	3.0	A3	57.0	True	Violoncello	1	3.0	4.0	2.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
5	96.0	48.0	8.0	8	4.0	4	3.0	D3	50.0	True	Violoncello	1	3.0	4.0	2.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
6	102.0	6.0	8.5	17/2	0.5	1/2	3.0	F#5	78.0	True	Violoncello	1	3.0	4.0	2.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
7	108.0	6.0	9.0	9	0.5	1/2	3.0	E5	76.0	True	Violoncello	1	3.0	4.0	2.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
8	114.0	6.0	9.5	19/2	0.5	1/2	3.0	D5	74.0	True	Violoncello	1	3.0	4.0	2.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
9	120.0	6.0	10.0	10	0.5	1/2	3.0	C#5	73.0	True	Violoncello	1	3.0	4.0	2.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
