a_offset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	1	4.0	0	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None
4.0	2	4.0	1	V	True	('B', 'D', 'G')	B	G	1	major triad	(2, 7, 11)	c	c	5	None
8.0	3	3.0	2	V7	True	('B', 'D', 'F', 'G')	B	G	1	dominant seventh chord	(2, 5, 7, 11)	c	c	5	None
11.0	3	1.0	3	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	5	None
12.0	4	4.0	4	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None
16.0	5	2.0	5	I/III	True	('G', 'B-', 'E-')	G	E-	1	major triad	(3, 7, 10)	c	E-	1	3
18.0	5	2.0	6	V7/III	True	('A-', 'B-', 'D', 'F')	A-	B-	3	dominant seventh chord	(2, 5, 8, 10)	c	E-	5	3
20.0	6	2.0	7	I/III	True	('G', 'B-', 'E-')	G	E-	1	major triad	(3, 7, 10)	c	E-	1	3
22.0	6	2.0	8	V7/III	True	('A-', 'B-', 'D', 'F')	A-	B-	3	dominant seventh chord	(2, 5, 8, 10)	c	E-	5	3
24.0	7	1.0	9	I/III	True	('G', 'B-', 'E-')	G	E-	1	major triad	(3, 7, 10)	c	E-	1	3
25.0	7	1.0	10	IV/III	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	c	E-	4	3
26.0	7	1.0	11	Cad/III	True	('B-', 'E-', 'G')	B-	E-	2	major triad	(3, 7, 10)	c	E-	1	3
27.0	7	1.0	12	V/III	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	c	E-	5	3
28.0	8	4.0	13	I/III	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	c	E-	1	3
32.0	9	2.0	14	III	True	('G', 'B-', 'E-')	G	E-	1	major triad	(3, 7, 10)	c	c	3	None
34.0	9	2.0	15	V/iv	True	('E', 'G', 'C')	E	C	1	major triad	(0, 4, 7)	c	f	5	4
36.0	10	4.0	16	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None
40.0	11	1.0	17	i	True	('E-', 'G', 'C')	E-	C	1	minor triad	(0, 3, 7)	c	c	1	None
41.0	11	1.0	18	i	True	('C', 'E-', 'G')	C	C	0	minor triad	(0, 3, 7)	c	c	1	None
42.0	11	1.0	19	iv	True	('F', 'A-', 'C')	F	F	0	minor triad	(0, 5, 8)	c	c	4	None
43.0	11	1.0	20	V/V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	c	G	5	5
44.0	12	4.0	21	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	c	c	5	None
