onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	12	0.0	0	0.5	1/2	0	2	4	1	0.0	E4	64	True	E	0	0	1.0	1	P1-Staff3	1	0	0.5	0	V	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	A	A	5	None	V	True
12	12	0.5	1/2	0.5	1/2	1	2	4	2	0.5	A4	69	True	A	0	0	1.0	1	P1-Staff3	1	1	2.0	1	I	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
24	12	1.0	1	0.5	1/2	1	2	4	2	1.0	B4	71	True	B	0	1/8	1.5	0	P1-Staff3	1	1	2.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
36	12	1.5	3/2	0.5	1/2	1	2	4	2	1.5	C#5	73	True	C	1	1/4	2.0	2	P1-Staff3	1	1	2.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
36	12	1.5	3/2	0.5	1/2	1	2	4	2	1.5	A3	57	True	A	0	1/4	2.0	2	P1-Staff3	1	1	2.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
36	12	1.5	3/2	0.5	1/2	1	2	4	2	1.5	C#4	61	True	C	1	1/4	2.0	2	P1-Staff3	1	1	2.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
48	12	2.0	2	0.5	1/2	1	2	4	2	2.0	D5	74	True	D	0	3/8	2.5	0	P1-Staff3	1	1	2.0	1	I	False	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	A	A	1	None	I	True
60	18	2.5	5/2	0.75	3/4	2	2	4	3	2.5	E5	76	True	E	0	0	1.0	1	P1-Staff3	1	2	2.0	2	V	True	('G#', 'B', 'E')	G#	E	1	major triad	(4, 8, 11)	A	A	5	None	V	True
60	12	2.5	5/2	0.5	1/2	2	2	4	3	2.5	G#3	56	True	G	1	0	1.0	1	P1-Staff3	1	2	2.0	2	V	True	('G#', 'B', 'E')	G#	E	1	major triad	(4, 8, 11)	A	A	5	None	V	True
60	12	2.5	5/2	0.5	1/2	2	2	4	3	2.5	B3	59	True	B	0	0	1.0	1	P1-Staff3	1	2	2.0	2	V	True	('G#', 'B', 'E')	G#	E	1	major triad	(4, 8, 11)	A	A	5	None	V	True
78	6	3.25	13/4	0.25	1/4	2	2	4	3	3.25	F#5	78	True	F	1	3/16	1.75	0	P1-Staff3	1	2	2.0	2	V	False	('G#', 'B', 'E')	G#	E	1	major triad	(4, 8, 11)	A	A	5	None	V	True
84	12	3.5	7/2	0.5	1/2	2	2	4	3	3.5	E5	76	True	E	0	1/4	2.0	2	P1-Staff3	1	2	2.0	2	V	False	('G#', 'B', 'E')	G#	E	1	major triad	(4, 8, 11)	A	A	5	None	V	True
