	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0	4	0.0	0	1.0	1	0	4	4	0	0.0	D4	62	True	D	0	0	1.0	1	P1-Staff2	2	0.0	1.0	0.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
1	0	1	0.0	0	0.25	1/4	0	4	4	0	0.0	B-3	58	True	B	-1	0	1.0	1	P1-Staff2	2	0.0	1.0	0.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
2	1	1	0.25	1/4	0.25	1/4	0	4	4	0	0.25	A3	57	True	A	0	1/16	1.25	0	P1-Staff2	2	0.0	1.0	0.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
3	2	1	0.5	1/2	0.25	1/4	0	4	4	0	0.5	B-3	58	True	B	-1	1/8	1.5	0	P1-Staff2	2	0.0	1.0	0.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
4	3	1	0.75	3/4	0.25	1/4	0	4	4	0	0.75	F3	53	True	F	0	3/16	1.75	0	P1-Staff2	2	0.0	1.0	0.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
5	4	4	1.0	1	1.0	1	1	4	4	1	1.0	F4	65	True	F	0	0	1.0	1	P1-Staff2	5	1.0	4.0	1.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
6	4	4	1.0	1	1.0	1	1	4	4	1	1.0	D4	62	True	D	0	0	1.0	1	P1-Staff2	5	1.0	4.0	1.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
7	4	4	1.0	1	1.0	1	1	4	4	1	1.0	B-1	34	True	B	-1	0	1.0	1	P1-Staff2	1	1.0	4.0	1.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
8	4	4	1.0	1	1.0	1	1	4	4	1	1.0	B-2	46	True	B	-1	0	1.0	1	P1-Staff2	1	1.0	4.0	1.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
9	8	4	2.0	2	1.0	1	1	4	4	1	2.0	D4	62	True	D	0	1/4	2.0	2	P1-Staff2	5	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
10	8	4	2.0	2	1.0	1	1	4	4	1	2.0	B-3	58	True	B	-1	1/4	2.0	2	P1-Staff2	5	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
11	8	4	2.0	2	1.0	1	1	4	4	1	2.0	B-1	34	True	B	-1	1/4	2.0	2	P1-Staff2	1	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
12	8	4	2.0	2	1.0	1	1	4	4	1	2.0	B-2	46	True	B	-1	1/4	2.0	2	P1-Staff2	1	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
13	16	4	4.0	4	1.0	1	1	4	4	1	4.0	D4	62	True	D	0	3/4	4.0	4	P1-Staff2	5	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
14	16	1	4.0	4	0.25	1/4	1	4	4	1	4.0	B-3	58	True	B	-1	3/4	4.0	4	P1-Staff2	5	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
15	17	1	4.25	17/4	0.25	1/4	1	4	4	1	4.25	A3	57	True	A	0	13/16	4.25	0	P1-Staff2	5	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
16	18	1	4.5	9/2	0.25	1/4	1	4	4	1	4.5	B-3	58	True	B	-1	7/8	4.5	0	P1-Staff2	5	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
17	19	1	4.75	19/4	0.25	1/4	1	4	4	1	4.75	F3	53	True	F	0	15/16	4.75	0	P1-Staff2	5	1.0	4.0	1.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
18	20	4	5.0	5	1.0	1	2	4	4	2	5.0	F4	65	True	F	0	0	1.0	1	P1-Staff2	5	2.0	4.0	2.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
19	20	4	5.0	5	1.0	1	2	4	4	2	5.0	D4	62	True	D	0	0	1.0	1	P1-Staff2	5	2.0	4.0	2.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
20	20	4	5.0	5	1.0	1	2	4	4	2	5.0	B-1	34	True	B	-1	0	1.0	1	P1-Staff2	1	2.0	4.0	2.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
21	20	4	5.0	5	1.0	1	2	4	4	2	5.0	B-2	46	True	B	-1	0	1.0	1	P1-Staff2	1	2.0	4.0	2.0	I	True	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
22	24	4	6.0	6	1.0	1	2	4	4	2	6.0	D4	62	True	D	0	1/4	2.0	2	P1-Staff2	5	2.0	4.0	2.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
23	24	4	6.0	6	1.0	1	2	4	4	2	6.0	B-3	58	True	B	-1	1/4	2.0	2	P1-Staff2	5	2.0	4.0	2.0	I	False	('B-', 'D', 'F')	B-	B-	0.0	major triad	(2, 5, 10)	B-	B-	1	None
