onset_div	duration_div	pitch	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc
0	6	60	C	0	2	2	1	1	True	2.5	-4	1	0	1	0a	0	1/4	True	4	True			{	0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
6	6	65	F	0	2	2	1	1	True	1.0	-4	2	1	2	1a	1	1/4	True	4	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
12	6	68	A	-1	2	2	1	1	True	1.5	-4	2	1	2	1a	2	1/4	False	4	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
18	6	72	C	0	2	2	1	1	True	2.0	-4	2	1	2	1a	3	1/4	False	5	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
24	6	77	F	0	2	2	1	1	True	2.5	-4	2	1	2	1a	4	1/4	False	5	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
30	9	80	A	-1	2	2	1	1	True	1.0	-4	3	2	3	2a	5	3/8	True	5	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
36	6	53	F	0	2	2	2	1	True	1.5	-4	3	2	3	2a	6	1/4	False	3	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
36	6	56	A	-1	2	2	2	1	True	1.5	-4	3	2	3	2a	6	1/4	False	3	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
36	6	60	C	0	2	2	2	1	True	1.5	-4	3	2	3	2a	6	1/4	False	4	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
39	1	79	G	0	2	2	1	1	True	1.75	-4	3	2	3	2a	13/2	1/24	False	5	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
40	1	77	F	0	2	2	1	1	True	1.833	-4	3	2	3	2a	20/3	1/24	False	5	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
41	1	76	E	0	2	2	1	1	True	1.917	-4	3	2	3	2a	41/6	1/24	False	5	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
42	6	53	F	0	2	2	2	1	True	2.0	-4	3	2	3	2a	7	1/4	False	3	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
42	6	56	A	-1	2	2	2	1	True	2.0	-4	3	2	3	2a	7	1/4	False	3	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
42	6	60	C	0	2	2	2	1	True	2.0	-4	3	2	3	2a	7	1/4	False	4	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
42	6	77	F	0	2	2	1	1	True	2.0	-4	3	2	3	2a	7	1/4	False	5	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
48	6	53	F	0	2	2	2	1	True	2.5	-4	3	2	3	2a	8	1/4	False	3	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
48	6	56	A	-1	2	2	2	1	True	2.5	-4	3	2	3	2a	8	1/4	False	3	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
48	6	60	C	0	2	2	2	1	True	2.5	-4	3	2	3	2a	8	1/4	False	4	False				0	f.i{		f	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	-1	-1	-1
54	6	52	E	0	2	2	2	1	True	1.0	-4	4	3	4	3a	9	1/4	True	3	True				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
54	6	55	G	0	2	2	2	1	True	1.0	-4	4	3	4	3a	9	1/4	True	3	True				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
54	6	58	B	-1	2	2	2	1	True	1.0	-4	4	3	4	3a	9	1/4	True	3	True				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
54	6	60	C	0	2	2	2	1	True	1.0	-4	4	3	4	3a	9	1/4	True	4	True				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
54	6	67	G	0	2	2	1	1	True	1.0	-4	4	3	4	3a	9	1/4	True	4	True				1	V65		f	i		V65		V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	-1	-1	-1
