onset_div	duration_div	pitch	step	alter	ts_beats	ts_beat_type	staff	voice	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	octave
0	6	60	C	0	2	2	1	1	1	0	1	0a	0	1/4	4
6	6	65	F	0	2	2	1	1	2	1	2	1a	1	1/4	4
12	6	68	A	-1	2	2	1	1	2	1	2	1a	2	1/4	4
18	6	72	C	0	2	2	1	1	2	1	2	1a	3	1/4	5
24	6	77	F	0	2	2	1	1	2	1	2	1a	4	1/4	5
30	9	80	A	-1	2	2	1	1	3	2	3	2a	5	3/8	5
36	6	53	F	0	2	2	2	1	3	2	3	2a	6	1/4	3
36	6	56	A	-1	2	2	2	1	3	2	3	2a	6	1/4	3
36	6	60	C	0	2	2	2	1	3	2	3	2a	6	1/4	4
39	1	79	G	0	2	2	1	1	3	2	3	2a	13/2	1/24	5
40	1	77	F	0	2	2	1	1	3	2	3	2a	20/3	1/24	5
41	1	76	E	0	2	2	1	1	3	2	3	2a	41/6	1/24	5
42	6	53	F	0	2	2	2	1	3	2	3	2a	7	1/4	3
42	6	56	A	-1	2	2	2	1	3	2	3	2a	7	1/4	3
42	6	60	C	0	2	2	2	1	3	2	3	2a	7	1/4	4
42	6	77	F	0	2	2	1	1	3	2	3	2a	7	1/4	5
48	6	53	F	0	2	2	2	1	3	2	3	2a	8	1/4	3
48	6	56	A	-1	2	2	2	1	3	2	3	2a	8	1/4	3
48	6	60	C	0	2	2	2	1	3	2	3	2a	8	1/4	4
54	6	52	E	0	2	2	2	1	4	3	4	3a	9	1/4	3
54	6	55	G	0	2	2	2	1	4	3	4	3a	9	1/4	3
54	6	58	B	-1	2	2	2	1	4	3	4	3a	9	1/4	3
54	6	60	C	0	2	2	2	1	4	3	4	3a	9	1/4	4
54	6	67	G	0	2	2	1	1	4	3	4	3a	9	1/4	4
60	6	72	C	0	2	2	1	1	4	3	4	3a	10	1/4	5
66	6	76	E	0	2	2	1	1	4	3	4	3a	11	1/4	5
72	6	79	G	0	2	2	1	1	4	3	4	3a	12	1/4	5
78	9	82	B	-1	2	2	1	1	5	4	5	4a	13	3/8	5
84	6	52	E	0	2	2	2	1	5	4	5	4a	14	1/4	3
