quarterbeats	mn	mn_onset	a_duration	a_annotationNumber	label	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	localkey_abs	globalkey	a_tonicizedKey	a_degree1	a_degree2
0.0	1	0	3.0	0	iio6	iio	True	('B', 'D', 'G#')	B	G#	1	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None
3.0	2	0	3.0	1	iio6	iio	True	('B', 'D', 'G#')	B	G#	1	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None
6.0	3	0	1.0	2	iio6	iio	True	('B', 'D', 'G#')	B	G#	1	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None
7.0	3	1/4	2.0	3	ii6	ii	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None
9.0	4	0	3.0	4	ii6	ii	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None
12.0	5	0	1.0	5	ii6	ii	True	('B', 'D#', 'G#')	B	G#	1	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None
13.0	5	1/4	2.0	6	V7	V7	True	('C#', 'E#', 'G#', 'B')	C#	C#	0	dominant seventh chord	(1, 5, 8, 11)	F#	F#	F#	F#	5	None
15.0	6	0	3.0	7	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None
18.0	7	0	1.5	8	i	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	F#	F#	F#	F#	1	None
19.5	7	3/8	1.5	9	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None
21.0	8	0	3.0	10	Ger43	Ger7	True	('F#', 'A', 'B#', 'D')	F#	B#	2	enharmonic to dominant seventh chord	(0, 2, 6, 9)	F#	F#	F#	F#	#4	None
24.0	9	0	3.0	11	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None
27.0	10	0	3.0	12	V7	V7	True	('F#', 'A#', 'C#', 'E')	F#	F#	0	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None
30.0	11	0	3.0	13	viio6/bi	viio/bi	True	('C', 'E-', 'A')	C	A	1	diminished triad	(0, 3, 9)	B	B	F#	b-	#7	-1
33.0	12	0	3.0	14	IV	IV	True	('E', 'G#', 'B')	E	E	0	major triad	(4, 8, 11)	B	B	F#	B	4	None
36.0	13	0	3.0	15	viio/bIV	viio/bIV	True	('D', 'F', 'A-')	D	D	0	diminished triad	(2, 5, 8)	B	B	F#	E-	7	-4
39.0	14	0	2.0	16	I6	I	True	('D#', 'F#', 'B')	D#	B	1	major triad	(3, 6, 11)	B	B	F#	B	1	None
41.0	14	1/2	0.5	17	viio/v	viio/v	True	('E#', 'G#', 'B')	E#	E#	0	diminished triad	(5, 8, 11)	B	B	F#	f#	#7	5
41.5	14	5/8	0.5	18	V	V	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	B	B	F#	B	5	None
42.0	15	0	3.0	19	iv6	iv	True	('G', 'B', 'E')	G	E	1	minor triad	(4, 7, 11)	B	B	F#	B	4	None
45.0	16	0	3.0	20	V7/V	V7/V	True	('C#', 'E#', 'G#', 'B')	C#	C#	0	dominant seventh chord	(1, 5, 8, 11)	B	B	F#	F#	5	5
48.0	17	0	3.0	21	V7	V7	True	('F#', 'A#', 'C#', 'E')	F#	F#	0	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None
51.0	18	0	3.0	22	V65/IV	V7/IV	True	('D#', 'F#', 'A', 'B')	D#	B	1	dominant seventh chord	(3, 6, 9, 11)	B	B	F#	E	5	4
54.0	19	0	1.5	23	V65/IV	V7/IV	True	('D#', 'F#', 'A', 'B')	D#	B	1	dominant seventh chord	(3, 6, 9, 11)	B	B	F#	E	5	4
55.5	19	3/8	1.5	24	IV6	IV	True	('G#', 'B', 'E')	G#	E	1	major triad	(4, 8, 11)	B	B	F#	B	4	None
57.0	20	0	1.5	25	II43	II7	True	('G#', 'B', 'C#', 'E#')	G#	C#	2	dominant seventh chord	(1, 5, 8, 11)	B	B	F#	B	2	None
58.5	20	3/8	1.0	26	V6	V	True	('A#', 'C#', 'F#')	A#	F#	1	major triad	(1, 6, 10)	B	B	F#	B	5	None
59.5	20	5/8	0.5	27	V64/vi	V/vi	True	('A#', 'D#', 'F##')	A#	D#	2	major triad	(3, 7, 10)	B	B	F#	g#	5	6
60.0	21	0	0.5	28	V64/vi	V/vi	True	('A#', 'D#', 'F##')	A#	D#	2	major triad	(3, 7, 10)	B	B	F#	g#	5	6
60.5	21	1/8	1.0	29	IV64	IV	True	('B', 'E', 'G#')	B	E	2	major triad	(4, 8, 11)	B	B	F#	B	4	None
61.5	21	3/8	1.5	30	V9/iv	V9/iv	True	('B', 'D#', 'F#', 'A', 'C')	B	B	0	flat-ninth pentachord	(0, 3, 6, 9, 11)	B	B	F#	e	5	4
63.0	22	0	2.0	31	V43	V7	True	('C#', 'E', 'F#', 'A#')	C#	F#	2	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None
65.0	22	1/2	1.0	32	viio42	viio7	True	('G', 'A#', 'C#', 'E')	G	A#	3	diminished seventh chord	(1, 4, 7, 10)	B	B	F#	B	7	None
66.0	23	0	0.5	33	viio7	viio7	True	('A#', 'C#', 'E', 'G')	A#	A#	0	diminished seventh chord	(1, 4, 7, 10)	B	B	F#	B	7	None
66.5	23	1/8	1.0	34	V6	V	True	('A#', 'C#', 'F#')	A#	F#	1	major triad	(1, 6, 10)	B	B	F#	B	5	None
67.5	23	3/8	1.0	35	V	V	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	B	B	F#	B	5	None
68.5	23	5/8	0.5	36	iv	iv	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	B	B	F#	B	4	None
69.0	24	0	1.5	37	iv	iv	True	('E', 'G', 'B')	E	E	0	minor triad	(4, 7, 11)	B	B	F#	B	4	None
70.5	24	3/8	1.5	38	V65	V7	True	('A#', 'C#', 'E', 'F#')	A#	F#	1	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None
72.0	25	0	0.5	39	V65	V7	True	('A#', 'C#', 'E', 'F#')	A#	F#	1	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None
72.5	25	1/8	2.0	40	i64	i	True	('F#', 'B', 'D')	F#	B	2	minor triad	(2, 6, 11)	B	B	F#	B	1	None
74.5	25	5/8	0.5	41	viio6/V	viio/V	True	('G#', 'B', 'E#')	G#	E#	1	diminished triad	(5, 8, 11)	B	B	F#	F#	7	5
75.0	26	0	2.5	42	V	V	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	B	B	F#	B	5	None
77.5	26	5/8	0.5	43	V7	V7	True	('F#', 'A#', 'C#', 'E')	F#	F#	0	dominant seventh chord	(1, 4, 6, 10)	B	B	F#	B	5	None
78.0	27	0	1.0	44	I	I	True	('B', 'D#', 'F#')	B	B	0	major triad	(3, 6, 11)	B	B	F#	B	1	None
79.0	27	1/4	2.0	45	V	V	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	B-	Bb	F#	B-	5	None
81.0	28	0	1.0	46	I	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	Bb	F#	B-	1	None
82.0	28	1/4	1.0	47	i	i	True	('B-', 'D-', 'F')	B-	B-	0	minor triad	(1, 5, 10)	B-	Bb	F#	B-	1	None
83.0	28	1/2	0.5	48	II	II	True	('G#', 'B#', 'D#')	G#	G#	0	major triad	(0, 3, 8)	F#	F#	F#	F#	2	None
83.5	28	5/8	0.5	49	iv	iv	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	F#	F#	F#	F#	4	None
84.0	29	0	1.5	50	I64	I	True	('C#', 'F#', 'A#')	C#	F#	2	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None
85.5	29	3/8	1.0	51	iio	iio	True	('G#', 'B', 'D')	G#	G#	0	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None
86.5	29	5/8	0.5	52	V7	V7	True	('C#', 'E#', 'G#', 'B')	C#	C#	0	dominant seventh chord	(1, 5, 8, 11)	F#	F#	F#	F#	5	None
87.0	30	0	3.0	53	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None
90.0	31	0	3.0	54	iio64	iio	True	('D', 'G#', 'B')	D	G#	2	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None
93.0	32	0	3.0	55	iio64	iio	True	('D', 'G#', 'B')	D	G#	2	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None
96.0	33	0	1.0	56	iio64	iio	True	('D', 'G#', 'B')	D	G#	2	diminished triad	(2, 8, 11)	F#	F#	F#	F#	2	None
97.0	33	1/4	2.0	57	ii64	ii	True	('D#', 'G#', 'B')	D#	G#	2	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None
99.0	34	0	1.0	58	ii64	ii	True	('D#', 'G#', 'B')	D#	G#	2	minor triad	(3, 8, 11)	F#	F#	F#	F#	2	None
100.0	34	1/4	2.0	59	V7	V7	True	('C#', 'E#', 'G#', 'B')	C#	C#	0	dominant seventh chord	(1, 5, 8, 11)	F#	F#	F#	F#	5	None
102.0	35	0	3.0	60	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None
105.0	36	0	1.5	61	i	i	True	('F#', 'A', 'C#')	F#	F#	0	minor triad	(1, 6, 9)	F#	F#	F#	F#	1	None
106.5	36	3/8	1.5	62	I	I	True	('F#', 'A#', 'C#')	F#	F#	0	major triad	(1, 6, 10)	F#	F#	F#	F#	1	None
