quarterbeats	mn	mn_onset	a_duration	a_annotationNumber	label	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	localkey_abs	globalkey	a_tonicizedKey	a_degree1	a_degree2
0.0	1	0	4.0	0	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	G	G	1	None
4.0	2	0	2.0	1	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	G	G	1	None
6.0	2	1/2	2.0	2	vi6	vi	True	('G', 'B', 'E')	G	E	1	minor triad	(4, 7, 11)	G	G	G	G	6	None
8.0	3	0	2.0	3	V/V	V/V	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	G	G	G	D	5	5
10.0	3	1/2	2.0	4	V6	V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	G	G	G	G	5	None
12.0	4	0	4.0	5	V/V	V/V	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	G	G	G	D	5	5
16.0	5	0	4.0	6	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	G	G	5	None
20.0	6	0	1.0	7	iii	iii	True	('B', 'D', 'F#')	B	B	0	minor triad	(2, 6, 11)	G	G	G	G	3	None
21.0	6	1/4	3.0	8	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	G	G	5	None
24.0	7	0	2.0	9	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	G	G	1	None
26.0	7	1/2	2.0	10	V6	V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	G	G	G	G	5	None
28.0	8	0	4.0	11	V6	V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	G	G	G	G	5	None
32.0	9	0	2.0	12	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	G	G	1	None
34.0	9	1/2	2.0	13	V6/5/IV	V7/IV	True	('B', 'D', 'F', 'G')	B	G	1	dominant seventh chord	(2, 5, 7, 11)	G	G	G	C	5	4
36.0	10	0	4.0	14	IV	IV	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	G	G	G	G	4	None
40.0	11	0	2.0	15	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	G	G	5	None
42.0	11	1/2	2.0	16	V7	V7	True	('D', 'F#', 'A', 'C')	D	D	0	dominant seventh chord	(0, 2, 6, 9)	G	G	G	G	5	None
44.0	12	0	2.0	17	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	G	G	1	None
46.0	12	1/2	2.0	18	V2	V7	True	('F', 'G', 'B', 'D')	F	G	3	dominant seventh chord	(2, 5, 7, 11)	C	C	G	C	5	None
48.0	13	0	4.0	19	I6	I	True	('E', 'G', 'C')	E	C	1	major triad	(0, 4, 7)	C	C	G	C	1	None
52.0	14	0	2.0	20	IV	IV	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	C	C	G	C	4	None
54.0	14	1/2	2.0	21	ii6/5	ii7	True	('F', 'A', 'C', 'D')	F	D	1	minor seventh chord	(0, 2, 5, 9)	C	C	G	C	2	None
56.0	15	0	2.0	22	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	C	C	G	C	5	None
58.0	15	1/2	2.0	23	V7	V7	True	('G', 'B', 'D', 'F')	G	G	0	dominant seventh chord	(2, 5, 7, 11)	C	C	G	C	5	None
60.0	16	0	2.0	24	I	I	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	C	C	G	C	1	None
62.0	16	1/2	2.0	25	I7	I7	True	('C', 'E', 'G', 'B')	C	C	0	major seventh chord	(0, 4, 7, 11)	C	C	G	C	1	None
64.0	17	0	1.0	26	IV	IV	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	C	C	G	C	4	None
65.0	17	1/4	1.0	27	ii	ii	True	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	C	C	G	C	2	None
66.0	17	1/2	2.0	28	vi6	vi	True	('C', 'E', 'A')	C	A	1	minor triad	(0, 4, 9)	C	C	G	C	6	None
68.0	18	0	2.0	29	V6	V	True	('B', 'D', 'G')	B	G	1	major triad	(2, 7, 11)	C	C	G	C	5	None
70.0	18	1/2	2.0	30	viio7	viio7	True	('B', 'D', 'F', 'A-')	B	B	0	diminished seventh chord	(2, 5, 8, 11)	C	C	G	C	7	None
72.0	19	0	2.0	31	I	I	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	C	C	G	C	1	None
74.0	19	1/2	2.0	32	I6	I	True	('E', 'G', 'C')	E	C	1	major triad	(0, 4, 7)	C	C	G	C	1	None
76.0	20	0	4.0	33	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	C	C	G	C	5	None
80.0	21	0	3.0	34	I	I	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	C	C	G	C	1	None
83.0	21	3/4	1.0	35	IV	IV	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	C	C	G	C	4	None
84.0	22	0	0.5	36	IV6	IV	True	('A', 'C', 'F')	A	F	1	major triad	(0, 5, 9)	C	C	G	C	4	None
84.5	22	1/8	1.0	37	I	I	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	C	C	G	C	1	None
85.5	22	3/8	0.5	38	I6	I	True	('E', 'G', 'C')	E	C	1	major triad	(0, 4, 7)	C	C	G	C	1	None
86.0	22	1/2	2.0	39	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	C	C	G	C	5	None
88.0	23	0	1.0	40	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	C	C	G	C	5	None
89.0	23	1/4	1.0	41	V6	V	True	('B', 'D', 'G')	B	G	1	major triad	(2, 7, 11)	C	C	G	C	5	None
90.0	23	1/2	2.0	42	V/V	V/V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	C	C	G	G	5	5
92.0	24	0	3.0	43	V	V	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	C	C	G	C	5	None
95.0	24	3/4	1.0	44	IV	IV	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	G	G	G	G	4	None
96.0	25	0	0.5	45	V6	V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	G	G	G	G	5	None
96.5	25	1/8	1.0	46	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	G	G	G	G	1	None
97.5	25	3/8	0.5	47	I6	I	True	('B', 'D', 'G')	B	G	1	major triad	(2, 7, 11)	G	G	G	G	1	None
98.0	25	1/2	2.0	48	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	G	G	5	None
100.0	26	0	1.0	49	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	G	G	5	None
101.0	26	1/4	1.0	50	V6	V	True	('F#', 'A', 'D')	F#	D	1	major triad	(2, 6, 9)	G	G	G	G	5	None
102.0	26	1/2	2.0	51	V/V	V/V	True	('A', 'C#', 'E')	A	A	0	major triad	(1, 4, 9)	G	G	G	D	5	5
104.0	27	0	4.0	52	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	G	G	5	None
108.0	28	0	4.0	53	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	G	G	G	G	5	None
