piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	electronicEncoder	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus
abc-op127-1	1: 2/4, 7: 3/4, 75: 2/4, 81: 3/4, 135: 2/4, 139: 3/4	1: -3, 41: -2, 75: 1, 117: -3, 135: 0, 159: -3	282	282	830.0	282	282	830.0		3388.0	3868	1295	0	0	561	Eb	L van Beethoven	String Quartet No12 Op127								2025-03-02	Linux			String Quartet No12 Op127			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op127-1.mscx	False	36-96 (C2-C7)	mxl		Violin I (2)	55-96 (G3-C7)	Violin II (2)	55-85 (G3-Db6)	Viola (2) (2)	48-77 (C3-F5)	Violoncello (2) (2)	36-87 (C2-Eb6)				
abc-op127-2	1: 12/8, 40: 4/4, 60: 2/2, 78: 12/8	1: -4, 60: 4, 108: -4	127	126	682.0	127	126	682.0		2765.0	5119	1805	0	0	541	Ab	L van Beethoven	String Quartet No12 Op127								2025-03-02	Linux			String Quartet No12 Op127			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	test	test/abc-op127-2.mscx	False	36-96 (C2-C7)	mxl		Violin I (2)	55-96 (G3-C7)	Violin II (2)	55-87 (G3-Eb6)	Viola (2) (2)	48-75 (C3-Eb5)	Violoncello (2) (2)	36-78 (C2-F#5)				
abc-op127-3	1: 3/4, 70: 2/4, 75: 3/4, 78: 2/4, 81: 3/4	1: -3, 148: -6, 237: -2, 269: -3	289	289	859.0	431	431	1285.0		2880.75	3237	1220	0	0	429	Eb	L van Beethoven	String Quartet No12 Op127								2025-03-02	Linux			String Quartet No12 Op127			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op127-3.mscx	False	36-94 (C2-Bb6)	mxl		Violin I (2)	55-94 (G3-Bb6)	Violin II (2)	55-84 (G3-C6)	Viola (2) (2)	48-75 (C3-Eb5)	Violoncello (2) (2)	36-67 (C2-G4)				
abc-op127-4	1: 2/2, 256: 6/8	1: -3, 256: 0, 269: -3	299	299	1152.0	299	299	1152.0		4356.92	5978	2144	0	0	689	Eb	L van Beethoven	String Quartet No12 Op127								2025-03-02	Linux			String Quartet No12 Op127			L van Beethoven	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op127-4.mscx	False	36-99 (C2-Eb7)	mxl		Violin I (2)	55-99 (G3-Eb7)	Violin II (2)	55-84 (G3-C6)	Viola (2) (2)	48-77 (C3-F5)	Violoncello (2) (2)	36-89 (C2-F6)				
abc-op130-1	1: 3/4, 16: 4/4, 21: 3/4, 26: 4/4, 97: 3/4, 99: 4/4, 100: 3/4, 103: 4/4, 104: 3/4, 107: 4/4, 217: 3/4, 221: 4/4, 222: 3/4, 223: 4/4, 224: 3/4, 225: 4/4	1: -2, 72: -6, 100: 2, 116: 1, 135: -2, 163: -4, 176: -2	237	236	912.0	331	329	1266.0	[[[93, 94]], [[95]]]	3103.5	5440	2201	0	0	723	Bb									"<font size=""10""/>Copyright 2002 Robert L. Jenks
Edition may be freely distributed, copied, or performed"	2025-03-02	Linux			"<font size=""8""/>&lt;font size=&quot;10&quot;/&gt;Copyright 2002 Robert L. Jenks
Edition may be freely distributed, copied, or performed"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op130-1.mscx	False	36-96 (C2-C7)	mxl		Violin	55-96 (G3-C7)	Violin	55-87 (G3-Eb6)	Viola	48-77 (C3-F5)	Cello	36-69 (C2-A4)				
abc-op130-2	1: 2/2, 17: 6/4, 58: 2/2, 60: 6/4, 62: 2/2, 64: 6/4, 66: 2/2	1: -5, 17: -2, 66: -5	107	107	518.0	154	154	768.0	[[[24]], [[25]], [[48]], [[49]]]	1430.5	1401	584	0	0	186	b									"<font size=""8.5""/>Copyright 2002, Robert L. Jenks"	2025-03-02	Linux			"<font size=""18""/>Quartett No. 13
für 2 Violinen, Bratsche und Violoncell
Op. 130 2nd Movement
<font size=""14""/>Dem Fürsten Nicolaus von Galitzin gewidmet."			"<font size=""12""/>L. van Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op130-2.mscx	False	37-94 (Db2-Bb6)	mxl		Violin	57-94 (A3-Bb6)	Violin	57-87 (A3-Eb6)	Viola	48-75 (C3-Eb5)	Cello	37-65 (Db2-F4)				
abc-op130-3	1: 4/4	1: -5, 11: -4, 39: -5	88	88	352.0	88	88	352.0		1215.88	3599	1526	0	0	450	Db									"<font size=""8.5""/>Copyright2002 by Robert L. Jenks"	2025-03-02	Linux			"<font size=""18""/>Quartett No. 13
für 2 Violinen, Bratsche und Violoncell
Op. 130 3rd Movement
<font size=""14""/>Dem Fürsten Nicolaus von Galitzin gewidmet."			"<font size=""12""/>L. van Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op130-3.mscx	False	36-94 (C2-Bb6)	mxl		Violin	56-94 (Ab3-Bb6)	Violin	55-87 (G3-Eb6)	Viola	48-77 (C3-F5)	Cello	36-68 (C2-Ab4)				
abc-op130-4	1: 3/8	1: 1, 41: 0, 65: 1	150	150	225.0	174	174	261.0		798.25	1775	736	0	0	295	G									"<font size=""10""/>Copyright 2003 by Robert L. Jenks"	2025-03-02	Linux			"<font size=""8""/>&lt;font size=&quot;10&quot;/&gt;Copyright 2003 by Robert L. Jenks"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op130-4.mscx	False	36-91 (C2-G6)	mxl		Violin	55-91 (G3-G6)	Violin	55-84 (G3-C6)	Viola	48-74 (C3-D5)	Cello	36-84 (C2-C6)				
abc-op130-5	1: 3/4	1: -3	66	66	198.0	66	66	198.0		794.25	1222	451	0	0	189	Eb									"<font size=""8.5""/>Copyright 2003 by Robert L. Jenks"	2025-03-02	Linux			"<font size=""18""/>Quartett No. 13
für 2 Violinen, Bratsche und Violoncell
Op. 130 5th Movement
<font size=""14""/>Dem Fürsten Nicolaus von Galitzin gewidmet."		"<font size=""11.9""/><b>Cavatina</b>"	"<font size=""12""/>L. van Beethoven"	3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op130-5.mscx	False	36-84 (C2-C6)	mxl		Violin	58-80 (Bb3-Ab5)	Violin	55-84 (G3-C6)	Viola	48-68 (C3-Ab4)	Cello	36-67 (C2-G4)				
abc-op130-6	1: 2/4	1: -2, 55: -1, 114: -4, 173: -1, 188: -3, 194: -2, 358: -3, 366: -2	498	498	996.0	596	596	1192.0	[[[32, 33]], [[34]], [[98, 99, 100]], [[101]]]	3516.75	6960	2682	0	0	633	Bb									"<font size=""8.5""/>Copyright 2003 by Robert L. Jenks"	2025-03-02	Linux			"<font size=""8""/>&lt;font size=&quot;8.5&quot;/&gt;Copyright 2003 by Robert L. Jenks"				3.6.2	2.5.4.post1.dev3+g4f23346.d20250302	training	training/abc-op130-6.mscx	False	36-94 (C2-Bb6)	mxl		Violin	55-94 (G3-Bb6)	Violin	55-84 (G3-C6)	Viola	48-75 (C3-Eb5)	Cello	36-84 (C2-C6)				
