corpus	split_v191	id_v191	filepath_score	file_change_commit_url_v191_score	filepath_annotation	file_change_commit_url_v191_annotation
abc	test	abc-op127-2	rawdata/corrections/ABC/op127_no12_mov2.mxl	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/ABC/op127_no12_mov2.mxl	rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op127/2/analysis.txt	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op127/2/analysis.txt
abc	test	abc-op135-2	rawdata/functional-harmony-micchi/data/Beethoven_4tets/scores/op135_no16_mov2.mxl	https://github.com/napulen/functional-harmony-micchi/blob/7b966e0/data/Beethoven_4tets/scores/op135_no16_mov2.mxl	rawdata/When-in-Rome/Corpus/Quartets/Beethoven,_Ludwig_van/Op135/2/analysis.txt	https://github.com/MarkGotham/When-in-Rome/blob/f79760d9/Corpus/Quartets/Beethoven,_Ludwig_van/Op135/2/analysis.txt
abc	test	abc-op18-no1-1	rawdata/functional-harmony-micchi/data/Beethoven_4tets/scores/op18_no1_mov1.mxl	https://github.com/napulen/functional-harmony-micchi/blob/7b966e0/data/Beethoven_4tets/scores/op18_no1_mov1.mxl	rawdata/When-in-Rome/Corpus/Quartets/Beethoven,_Ludwig_van/Op18_No1/1/analysis.txt	https://github.com/MarkGotham/When-in-Rome/blob/f79760d9/Corpus/Quartets/Beethoven,_Ludwig_van/Op18_No1/1/analysis.txt
abc	test	abc-op18-no1-3	rawdata/functional-harmony-micchi/data/Beethoven_4tets/scores/op18_no1_mov3.mxl	https://github.com/napulen/functional-harmony-micchi/blob/7b966e0/data/Beethoven_4tets/scores/op18_no1_mov3.mxl	rawdata/When-in-Rome/Corpus/Quartets/Beethoven,_Ludwig_van/Op18_No1/3/analysis.txt	https://github.com/MarkGotham/When-in-Rome/blob/2b7a3cac/Corpus/Quartets/Beethoven,_Ludwig_van/Op18_No1/3/analysis.txt
abc	test	abc-op18-no6-3	rawdata/corrections/ABC/op18_no6_mov3.mxl	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/ABC/op18_no6_mov3.mxl	rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op18_No6/3/analysis.txt	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op18_No6/3/analysis.txt
abc	test	abc-op59-no1-1	rawdata/functional-harmony-micchi/data/Beethoven_4tets/scores/op59_no7_mov1.mxl	https://github.com/napulen/functional-harmony-micchi/blob/7b966e0/data/Beethoven_4tets/scores/op59_no7_mov1.mxl	rawdata/When-in-Rome/Corpus/Quartets/Beethoven,_Ludwig_van/Op59_No1/1/analysis.txt	https://github.com/MarkGotham/When-in-Rome/blob/2b7a3cac/Corpus/Quartets/Beethoven,_Ludwig_van/Op59_No1/1/analysis.txt
abc	test	abc-op59-no2-3	rawdata/corrections/ABC/op59_no8_mov3.mxl	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/ABC/op59_no8_mov3.mxl	rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op59_No2/3/analysis.txt	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op59_No2/3/analysis.txt
abc	test	abc-op74-3	rawdata/corrections/ABC/op74_no10_mov3.mxl	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/ABC/op74_no10_mov3.mxl	rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op74/3/analysis.txt	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op74/3/analysis.txt
abc	test	abc-op74-4	rawdata/corrections/ABC/op74_no10_mov4.mxl	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/ABC/op74_no10_mov4.mxl	rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op74/4/analysis.txt	https://github.com/napulen/AugmentedNet/blob/v0.1.0-109-g53afc81/rawdata/corrections/WiR/Corpus/Quartets/Beethoven,_Ludwig_van/Op74/4/analysis.txt
abc	test	abc-op95-3	rawdata/functional-harmony-micchi/data/Beethoven_4tets/scores/op95_no11_mov3.mxl	https://github.com/napulen/functional-harmony-micchi/blob/7b966e0/data/Beethoven_4tets/scores/op95_no11_mov3.mxl	rawdata/When-in-Rome/Corpus/Quartets/Beethoven,_Ludwig_van/Op95/3/analysis.txt	https://github.com/MarkGotham/When-in-Rome/blob/2b7a3cac/Corpus/Quartets/Beethoven,_Ludwig_van/Op95/3/analysis.txt
